z color ID
0.569000 1.765000 37.465567
0.570600 0.672000 143833.49-011413.7
0.572000 1.643000 021632.96-060113.5
0.572300 0.912000 084820.15+014620.3
0.573000 0.297000 021808.84-055629.8
0.575000 0.729000 022032.13-033032.2
0.576000 0.971000 115302.69+011027.8
0.578000 0.793000 020450.76-041628.6
0.579000 0.927000 022001.26-034830.0
0.579500 0.625000 085717.45+014547.1
0.580203 0.735000 021619.08-034430.5
0.585000 1.278000 022125.05-055638.0
0.585600 0.866000 223925.92+000340.3
0.589000 0.029000 37.949768
0.590900 0.513000 115832.81+005139.1
0.594000 0.724000 222923.37+003244.2
0.596000 1.475000 021010.28-035930.9
0.597000 0.795000 020308.98-060834.5
0.598000 0.863000 38.314685
0.598000 0.813000 142352.63-004924.6
0.599000 1.384000 021037.60-033904.8
0.599600 0.786000 220749.50-002813.3
0.600000 0.851000 021642.05-045559.6
0.600000 1.054000 023025.82-042354.5
0.601900 0.966000 115342.99-001159.7
0.602300 0.791000 222030.08-002216.2
0.603000 0.441000 223624.24+012716.9
0.606000 0.181000 022445.34-035509.4
0.606000 0.489000 143005.51-011321.6
0.608000 0.508000 37.262146
0.609141 0.744000 021130.36-041350.9
0.610000 0.478000 37.749407
0.614000 0.838000 022246.24-041450.8
0.616000 1.127000 021259.54-060838.8
0.616700 1.729000 090006.26+021537.3
0.619000 1.521000 022802.15-035247.6
0.621100 0.985000 162039.12+430814.5
0.622000 0.542000 022142.64-052037.8
0.624000 -0.076000 162520.01+424435.5
0.627000 0.841000 022131.97-053853.8
0.628000 0.877000 38.64765
0.629000 0.713000 021702.14-035645.7
0.630000 1.257000 020843.70-041551.5
0.632000 1.166000 021748.25-053909.6
0.634500 0.746000 220946.73-003535.5
0.636100 0.954000 221951.03+010310.2
0.638000 0.716000 222006.62-001147.2
0.641000 0.890000 021402.24-051317.4
0.645000 0.944000 021934.07-052058.2
0.645000 -0.496000 023057.03-053154.1
0.645700 0.525000 084856.08+011540.0
0.646000 0.712000 021758.16-042522.1
0.647000 0.943000 021905.59-051443.4
0.647000 1.272000 141530.65+520439.5
0.648000 0.699000 38.214729999999996
0.649000 0.979000 020744.06-060955.9
0.649000 0.792000 141911.52+002646.2
0.650000 0.551000 020814.04-041945.5
0.650000 0.194000 222220.43+015723.3
0.652000 1.034000 020543.26-051702.4
0.652000 0.997000 084541.22+001316.3
0.653000 0.983000 020734.47-060542.7
0.653000 0.672000 021046.40-054854.0
0.653000 0.848000 220820.60+013030.2
0.654000 1.029000 37.870793
0.655000 0.866000 120601.73+004212.7
0.657000 1.234000 021228.77-052437.1
0.657800 1.958000 143141.90-011330.7
0.658000 1.002000 221055.80-001702.4
0.661000 1.605000 022913.93-044218.7
0.664000 0.937000 223630.92+004541.3
0.667000 0.660000 37.540223
0.667000 -1.632000 115929.24+010554.1
0.668000 0.981000 37.163206
0.668700 1.116000 141656.74-005021.5
0.669000 0.759000 085430.23-000418.1
0.670900 0.705000 120553.64-004651.1
0.672000 0.198000 021329.06-043446.8
0.674000 0.567000 120103.09-005221.1
0.675000 1.350000 021517.88-055706.5
0.675000 1.401000 222841.63+002217.8
0.678000 1.285000 115353.97-005530.9
0.679000 0.861000 084212.11+010358.3
0.679800 4.595000 142352.01-000705.2
0.681200 0.522000 085531.21+015346.8
0.683000 2.550000 222005.58+013227.1
0.686000 1.650000 223326.61-003101.5
0.687000 0.910000 161429.14+434903.5
0.688700 1.714000 115941.07-000320.0
0.690000 1.035000 021933.75-054920.1
