z color ID
0.441000 1.584000 221837.49-001731.7
0.442100 2.430000 221712.61-002502.8
0.443800 1.619000 090305.91+014850.7
0.445000 2.285000 021448.84-040601.7
0.446100 2.353000 220906.91+004543.9
0.448000 1.418000 021633.09-043031.2
0.448100 1.632000 115403.00+003154.0
0.451900 1.570000 221410.92+004524.3
0.454500 1.685000 085559.00+005745.4
0.456000 1.205000 37.119624
0.458000 2.128000 021103.17-041425.0
0.464000 0.889000 020354.68-060844.0
0.466000 1.970000 022258.90-045852.4
0.468700 2.237000 221956.75+005913.3
0.471000 1.673000 021944.36-052053.8
0.474000 2.560000 142039.79+520359.7
0.477000 2.202000 022437.11-054511.2
0.477900 2.160000 221449.37+011525.3
0.479200 2.070000 222000.58+010742.1
0.481000 2.189000 141724.59+523024.8
0.483000 2.133000 020849.34-045059.0
0.486000 -0.405000 021139.03-042606.7
0.490000 1.809000 022347.04-043348.1
0.492000 2.042000 021015.45-061012.9
0.493000 4.288000 023331.05-054550.9
0.494000 2.189000 38.368532
0.497000 1.675000 021624.80-041432.1
0.501000 2.855000 022133.83-054842.8
0.503000 1.650000 021736.36-041943.2
0.505000 1.936000 022738.94-045832.4
0.512000 2.517000 020257.39-051225.4
0.514000 2.013000 020313.15-051057.6
0.514000 2.200000 021834.48-051357.0
0.515000 2.052000 021950.50-040141.0
0.519000 1.964000 020337.29-051406.4
0.521000 2.466000 38.288235
0.523000 1.816000 022449.24-041802.1
0.525000 1.357000 021104.17-045325.1
0.525400 0.546000 085755.37-000818.5
0.527700 1.439000 221306.73-001357.7
0.529000 1.776000 02152.991-051141.5
0.531000 2.374000 021405.31-055118.3
0.531000 3.284000 161930.62+423131.8
0.533000 1.454000 020634.06-042534.5
0.535000 1.594000 020942.78-042830.3
0.537200 3.434000 085038.51+014331.9
0.538600 1.895000 120619.12-010027.3
0.540000 0.012000 021006.85-051538.5
0.542000 1.901000 085451.72+012609.9
0.543000 1.493000 022116.34-050819.0
0.544000 1.873000 090350.04-000259.5
0.547000 1.097000 085801.33-000747.3
0.548000 2.020000 223648.15+011124.0
0.551000 1.950000 022228.40-040152.9
0.552300 2.898000 115240.52-003004.3
0.553000 1.457000 021535.27-032722.9
0.553400 2.394000 222741.66+002838.5
0.554000 1.821000 022145.27-033354.9
0.556000 2.165000 020853.28-043353.5
0.557600 1.981000 090843.23+014821.2
0.560011 1.979000 020719.48-033600.6
0.560600 2.973000 085944.86-000301.0
0.562400 1.227000 161639.78+434221.2
0.563074 1.960000 141907.91+530025.5
0.565000 2.026000 36.396045
0.566000 1.082000 021454.15-051414.2
0.566300 2.297000 120620.51-003852.1
0.569000 2.235000 37.465567
0.570600 1.601000 143833.49-011413.7
0.572000 2.932000 021632.96-060113.5
0.572300 2.343000 084820.15+014620.3
