z color ID
0.760000 0.382000 085047.60+012552.6
0.761000 0.493000 022244.40-043347.0
0.762000 0.187000 020845.97-053803.0
0.762000 0.556000 161224.53+440349.2
0.762700 0.618000 223538.53+002109.8
0.763000 0.216000 021910.51-034334.4
0.764000 0.438000 120713.70-005343.4
0.765000 0.323000 020723.77-044011.5
0.765600 0.224000 222615.67+004709.1
0.766000 0.416000 021317.42-055415.4
0.766000 -3.413000 141426.86+520037.4
0.766550 0.348000 020625.17-044032.6
0.768000 0.450000 021322.56-054100.3
0.769000 0.328000 022011.63-044020.3
0.770000 0.576000 021946.18-050041.2
0.771000 0.440000 022003.08-035247.3
0.771700 0.431000 085425.77+021406.4
0.772000 0.457000 085103.39+005355.1
0.773000 0.397000 223714.84+002559.9
0.774000 0.361000 084956.36+005903.7
0.775000 -0.297000 085836.03+015044.4
0.776900 0.505000 222618.88+002138.8
0.777000 -1.625000 021439.52-034722.4
0.777000 0.313000 37.341334
0.777000 0.377000 223614.77-001241.9
0.779000 0.405000 021016.88-054328.3
0.780000 0.314000 090240.51+020743.8
0.781000 -1.263000 38.573048
0.782000 0.339000 021928.90-040700.1
0.782000 -0.383000 090112.04+011549.5
0.783000 0.407000 021120.38-054546.9
0.783400 0.636000 223410.50+004210.0
0.784000 0.445000 021743.03-043624.9
0.784000 0.523000 37.854789000000004
0.784900 0.578000 223606.68+000704.4
0.786000 0.454000 022842.20-053527.3
0.788000 0.572000 021705.52-042253.5
0.788000 0.541000 38.195097
0.789000 -0.191000 220704.52+011032.1
0.789000 0.747000 224312.11+010933.6
0.791900 0.522000 090420.88+013038.0
0.792100 0.396000 085637.86+011901.9
0.793000 0.672000 020517.38-051024.0
0.793000 0.719000 115817.24-003430.7
0.794000 0.543000 090337.69+004114.6
0.795000 0.361000 084908.95+002902.3
0.795000 -0.171000 222324.63-000944.6
0.798100 0.479000 090604.03+011114.1
0.800000 0.504000 120419.01-005441.0
0.801000 0.411000 022241.10-044550.4
0.802000 -0.475000 223035.55+004757.1
0.803200 0.530000 090602.43+012725.3
0.804000 0.778000 161323.08+435150.7
0.805000 -3.448000 141808.03+520023.2
0.806000 -1.020000 084258.42+014349.2
0.807600 1.247000 223315.84+010709.0
0.808000 0.149000 021214.11-053658.1
0.808700 0.791000 085640.38+015116.9
0.808700 0.124000 142913.71-004416.9
0.809000 0.285000 090021.49+005734.9
0.809000 0.854000 221329.27-001321.5
0.811000 0.549000 022100.43-045717.8
0.812000 0.692000 022024.49-040017.2
0.813000 0.447000 020700.73-044705.9
0.813000 0.210000 022535.84-052646.9
0.813000 0.375000 142010.81-000656.7
0.814700 0.478000 085345.03-000959.6
0.816000 0.874000 022219.91-051508.0
0.816600 0.574000 224115.48+005742.1
0.817000 0.486000 221952.07+000054.1
0.819000 -0.910000 021410.25-033134.5
0.820000 0.740000 141830.20+522212.4
0.820000 0.226000 161459.08+432504.8
0.822000 0.397000 022032.41-040332.2
0.822000 0.486000 115653.71-003711.6
0.823000 0.533000 115253.68+000131.9
0.824000 1.133000 020607.44-041323.5
0.825000 0.687000 020804.83-042327.1
0.825000 0.366000 220818.81+014815.9
0.827000 0.829000 020436.54-042831.8
0.830000 0.697000 022047.30-042619.0
0.830000 0.195000 223847.84+001053.2
0.831000 0.490000 021628.45-040147.0
0.832400 0.382000 222650.93-002716.7
0.834000 0.775000 222514.20-001619.5
0.835000 0.794000 084829.60+010356.6
0.836000 0.558000 084838.96+021035.4
0.838000 0.180000 37.624131
0.839000 0.667000 223221.14-000617.0
0.840212 0.737000 020902.08-045615.7
0.842000 0.594000 224228.08+013909.2
0.843000 1.275000 022902.02-033425.8
0.843400 0.560000 222726.27-002855.8
0.845000 0.330000 020634.59-060242.0
0.846800 0.743000 222036.65-001525.4
0.847000 0.353000 142334.85-005849.2
0.847900 0.810000 223932.95+010729.5
0.848000 0.403000 084331.27+014542.1
0.849000 0.503000 222920.41-002939.1
0.849600 0.233000 222332.60+002109.6
0.850000 0.401000 222043.69+005900.9
0.850317 0.455000 020452.84-033711.5
0.852000 0.264000 022110.22-045525.5
0.853000 0.616000 021639.71-053147.7
0.853000 0.826000 143216.87-005558.6
0.856000 0.499000 142148.50+011107.6
0.857000 -4.074000 022140.59-053503.4
0.857000 0.653000 224002.55+012734.9
0.857200 1.735000 143454.46-002153.2
0.858000 0.438000 142710.37+000938.2
0.859000 0.929000 021324.32-053518.0
0.861000 0.313000 020246.57-050927.6
0.861000 -0.715000 221756.92+010119.4
0.862000 0.416000 090337.48+004742.1
0.863000 0.866000 022540.81-033521.4
0.863000 0.224000 224019.88+001632.6
0.864000 1.462000 084238.86+015252.2
0.865098 1.286000 022202.31-044845.4
0.866000 0.454000 222024.32-001024.8
0.867000 0.721000 220651.81+000926.4
0.867000 0.460000 223934.84+011006.1
0.867300 0.506000 223837.87+004905.6
0.869000 1.122000 020403.90-042205.9
0.870000 0.316000 162703.86+422125.1
0.870100 -3.431000 084428.51+014818.7
0.872000 0.650000 022509.79-051246.5
0.873000 0.417000 161846.23+423921.1
0.873900 -1.977000 223705.14+011345.1
0.875000 -0.409000 084537.83+021806.4
0.875200 0.656000 223621.08-003051.7
0.877000 0.303000 38.390071999999996
0.877000 0.946000 220452.00+004004.7
0.877900 1.431000 221956.72+004332.4
0.878000 0.673000 37.857537
0.880000 0.694000 222315.09-002406.2
0.882000 1.786000 022100.33-042558.0
0.882000 0.131000 144027.25-011827.4
0.882600 0.545000 143914.12+002320.5
0.883000 0.736000 021557.63-045009.6
0.883700 0.384000 143607.34+010036.3
0.885000 0.541000 085056.63+005603.6
0.885000 -0.160000 141939.57+002835.2
0.886000 0.364000 220715.18-000347.2
0.887000 0.778000 223614.99+002040.7
0.888200 -0.019000 223730.16-002640.0
0.890000 0.072000 090038.82+013140.9
0.891000 0.562000 020326.22-051020.5
0.893000 0.805000 36.666969
0.896000 0.510000 090106.73-000124.6
0.896300 0.665000 142614.79+004159.4
0.898000 0.882000 090444.49+002909.8
0.899000 0.631000 022538.72-051044.9
0.899000 0.573000 223435.82+001302.8
0.899617 0.575000 021413.02-042930.1
0.900000 0.415000 020951.76-055744.2
0.900259 0.805000 020934.20-040422.4
0.901000 0.717000 223856.28-002523.9
0.902000 -2.946000 222924.16-001421.0
0.902600 0.136000 221245.86+001517.1
0.903000 0.736000 37.562557
0.903000 0.224000 221538.63+000650.8
0.904000 0.611000 020850.92-050508.0
0.904611 0.755000 021025.97-035541.0
0.905000 0.722000 022441.65-045001.5
0.907800 0.257000 221409.96+005227.0
0.908000 0.545000 115146.19+000206.8
0.909000 0.225000 022134.31-043025.6
0.909000 0.665000 142353.34-001629.1
0.910000 0.468000 090136.66+005856.2
0.910000 -0.010000 224022.77-000151.9
0.911000 0.627000 022334.49-041102.7
0.912000 0.802000 021701.19-053310.9
0.912000 0.416000 161541.53+423823.5
0.913000 0.692000 221825.04+002426.4
0.914100 0.678000 221407.38+000727.1
0.915000 0.743000 022507.14-051021.1
0.917000 -3.857000 37.238004
0.920000 0.729000 022534.82-042401.6
0.920667 1.294000 020202.45-051722.7
0.921000 0.519000 022537.16-042132.9
0.922000 0.797000 022233.14-034508.7
0.922000 0.691000 143119.75+005622.6
0.923000 0.702000 020301.73-045108.6
0.924000 0.609000 224059.04+004129.6
0.925000 0.701000 162224.79+431409.2
0.930000 1.011000 142010.47+003420.0
0.932500 0.505000 223336.92+000440.8
0.933100 0.781000 115808.46-005552.6
0.935000 0.575000 020718.85-060321.3
0.936000 0.680000 38.235718
0.937700 0.440000 084725.41+010331.5
0.940000 0.859000 221213.76+013727.1
0.942000 0.344000 022106.54-050557.9
