z color ID
0.732000 2.226000 020659.51-042343.3
0.732000 2.980000 085717.97+014953.3
0.733000 2.336000 221854.37+002656.7
0.740000 2.829000 021331.35-042849.5
0.741000 2.323000 020411.04-042526.9
0.741700 2.900000 114909.13-002349.7
0.742000 2.420000 021320.16-050751.1
0.744000 2.089000 221029.67+010843.8
0.745000 2.256000 223259.47+000502.5
0.746500 1.502000 115403.28-005253.4
0.748000 3.907000 090433.45+012050.3
0.748000 2.476000 163342.24+425946.4
0.751000 2.774000 021756.83-035316.6
0.751000 2.131000 161841.15+430440.6
0.753000 2.285000 141712.96+520957.5
0.753000 3.178000 222941.56+005901.6
0.754000 2.447000 221751.96+010049.0
0.754400 2.802000 221620.26-001632.3
0.758700 3.029000 221146.16-003513.5
0.759000 2.120000 221217.03-003151.7
0.762000 0.002000 020845.97-053803.0
0.762000 1.920000 161224.53+440349.2
0.765000 2.682000 020723.77-044011.5
0.765600 1.738000 222615.67+004709.1
0.766550 2.089000 020625.17-044032.6
0.768000 2.711000 021322.56-054100.3
0.769000 3.519000 022011.63-044020.3
0.770000 2.227000 021946.18-050041.2
0.771000 2.564000 022003.08-035247.3
0.772000 1.980000 085103.39+005355.1
0.774000 2.075000 084956.36+005903.7
0.775000 2.307000 085836.03+015044.4
0.777000 -1.127000 021439.52-034722.4
0.777000 2.043000 37.341334
0.777000 1.704000 223614.77-001241.9
0.779000 2.799000 021016.88-054328.3
0.780000 1.984000 090240.51+020743.8
0.781000 -1.307000 38.573048
0.782000 2.105000 021928.90-040700.1
0.782000 0.708000 090112.04+011549.5
0.784000 2.924000 021743.03-043624.9
0.784900 2.844000 223606.68+000704.4
0.786000 2.627000 022842.20-053527.3
0.788000 2.603000 021705.52-042253.5
0.789000 -1.930000 220704.52+011032.1
0.793000 2.945000 020517.38-051024.0
0.794000 2.886000 090337.69+004114.6
0.798100 2.701000 090604.03+011114.1
0.800000 3.129000 120419.01-005441.0
0.802000 2.838000 223035.55+004757.1
0.805000 0.351000 141808.03+520023.2
0.807600 0.705000 223315.84+010709.0
0.808700 2.506000 085640.38+015116.9
0.812000 2.940000 022024.49-040017.2
0.813000 1.941000 022535.84-052646.9
0.813000 2.244000 142010.81-000656.7
0.814700 2.617000 085345.03-000959.6
0.817000 2.547000 221952.07+000054.1
0.819000 0.094000 021410.25-033134.5
0.820000 0.068000 161459.08+432504.8
0.822000 2.402000 022032.41-040332.2
0.824000 2.614000 020607.44-041323.5
0.825000 2.494000 220818.81+014815.9
0.827000 1.788000 020436.54-042831.8
0.830000 2.025000 022047.30-042619.0
0.831000 2.356000 021628.45-040147.0
0.834000 2.040000 222514.20-001619.5
