z color ID
0.596000 2.574000 021010.28-035930.9
0.597000 2.388000 020308.98-060834.5
0.598000 2.827000 38.314685
0.599600 2.488000 220749.50-002813.3
0.600000 -1.589000 021642.05-045559.6
0.600000 2.540000 023025.82-042354.5
0.601900 2.674000 115342.99-001159.7
0.602300 2.792000 222030.08-002216.2
0.603000 1.701000 223624.24+012716.9
0.609141 2.778000 021130.36-041350.9
0.610000 1.586000 37.749407
0.614000 2.171000 022246.24-041450.8
0.616000 3.324000 021259.54-060838.8
0.616700 3.040000 090006.26+021537.3
0.621100 2.168000 162039.12+430814.5
0.622000 1.865000 022142.64-052037.8
0.624000 -0.837000 162520.01+424435.5
0.627000 1.699000 022131.97-053853.8
0.629000 1.971000 021702.14-035645.7
0.634500 2.505000 220946.73-003535.5
0.636100 2.798000 221951.03+010310.2
0.638000 2.977000 222006.62-001147.2
0.641000 3.118000 021402.24-051317.4
0.645000 2.376000 021934.07-052058.2
0.645000 1.832000 023057.03-053154.1
0.645700 1.729000 084856.08+011540.0
0.646000 2.196000 021758.16-042522.1
0.647000 3.024000 021905.59-051443.4
0.648000 2.796000 38.214729999999996
0.649000 2.003000 020744.06-060955.9
0.649000 3.152000 141911.52+002646.2
0.650000 2.166000 020814.04-041945.5
0.650000 2.023000 222220.43+015723.3
0.652000 3.403000 084541.22+001316.3
0.653000 2.143000 020734.47-060542.7
0.653000 1.792000 021046.40-054854.0
0.653000 2.432000 220820.60+013030.2
0.655000 -1.761000 120601.73+004212.7
0.664000 2.936000 223630.92+004541.3
0.667000 1.791000 37.540223
0.667000 2.369000 115929.24+010554.1
0.669000 2.048000 085430.23-000418.1
0.670900 2.150000 120553.64-004651.1
0.672000 2.408000 021329.06-043446.8
0.675000 -2.351000 021517.88-055706.5
0.675000 2.254000 222841.63+002217.8
0.679000 2.807000 084212.11+010358.3
0.679800 1.813000 142352.01-000705.2
0.681200 1.201000 085531.21+015346.8
0.683000 0.091000 222005.58+013227.1
0.684000 1.104000 084948.89+000456.5
0.687000 2.550000 161429.14+434903.5
0.690000 2.552000 021933.75-054920.1
0.691000 1.810000 115333.98+010904.9
0.693000 2.797000 022605.44-043226.8
0.693000 3.061000 115723.32+001708.9
0.693000 2.186000 223738.01+003648.6
0.694000 2.541000 023053.85-035702.0
0.695000 1.821000 37.567617999999996
0.697000 2.949000 020454.66-051014.4
0.698000 3.119000 120554.25-004428.2
0.701000 1.945000 090601.66+002020.7
0.704300 2.939000 223347.95+004336.6
0.707000 2.483000 084230.96+010829.2
0.707000 2.053000 141526.07+000448.5
0.710600 2.412000 223633.98+002913.2
0.711000 1.841000 223537.26+003551.4
0.714000 0.713000 085640.08+000621.8
0.714500 2.450000 224145.41-000122.6
0.716000 1.216000 141506.93-001000.2
0.719000 3.026000 142240.36-010646.1
0.722000 1.932000 022716.12-044539.1
0.723000 2.587000 021453.66-042844.8
0.725900 2.743000 085635.78+014247.0
0.728000 -0.528000 221623.77-000728.7
0.729800 1.938000 115412.54-000153.2
0.730086 1.016000 023142.18-033322.7
0.732000 2.329000 020659.51-042343.3
0.732000 3.099000 085717.97+014953.3
0.732000 1.094000 163028.92+430038.7
0.733000 2.065000 221854.37+002656.7
0.740000 2.466000 021331.35-042849.5
0.741000 2.138000 020411.04-042526.9
0.741700 2.816000 114909.13-002349.7
0.742000 2.977000 021320.16-050751.1
0.744000 2.606000 221029.67+010843.8
0.745000 2.377000 223259.47+000502.5
0.746500 1.484000 115403.28-005253.4
0.748000 3.865000 090433.45+012050.3
0.748000 2.202000 163342.24+425946.4
0.751000 2.576000 021756.83-035316.6
0.751000 2.073000 161841.15+430440.6
0.753000 2.335000 141712.96+520957.5
0.753000 2.766000 222941.56+005901.6
0.754000 2.159000 221751.96+010049.0
0.754400 2.685000 221620.26-001632.3
0.758700 2.911000 221146.16-003513.5
0.759000 2.311000 221217.03-003151.7
0.762000 4.174000 020845.97-053803.0
0.762000 1.837000 161224.53+440349.2
0.765000 2.485000 020723.77-044011.5
0.765600 1.578000 222615.67+004709.1
0.766550 1.883000 020625.17-044032.6
0.768000 2.485000 021322.56-054100.3
0.769000 3.156000 022011.63-044020.3
0.770000 1.798000 021946.18-050041.2
0.771000 2.330000 022003.08-035247.3
0.772000 1.753000 085103.39+005355.1
0.774000 1.949000 084956.36+005903.7
0.775000 2.335000 085836.03+015044.4
0.777000 -3.286000 021439.52-034722.4
0.777000 1.801000 37.341334
0.777000 1.734000 223614.77-001241.9
0.779000 2.626000 021016.88-054328.3
0.780000 1.817000 090240.51+020743.8
0.781000 1.590000 38.573048
0.782000 1.899000 021928.90-040700.1
0.782000 -0.046000 090112.04+011549.5
0.784000 2.568000 021743.03-043624.9
0.784900 2.943000 223606.68+000704.4
0.786000 2.417000 022842.20-053527.3
0.788000 2.256000 021705.52-042253.5
0.789000 -0.624000 220704.52+011032.1
0.793000 2.694000 020517.38-051024.0
0.794000 2.770000 090337.69+004114.6
0.798100 2.491000 090604.03+011114.1
0.800000 2.927000 120419.01-005441.0
0.802000 2.551000 223035.55+004757.1
0.805000 -3.016000 141808.03+520023.2
0.807600 1.681000 223315.84+010709.0
0.808700 2.484000 085640.38+015116.9
0.812000 2.982000 022024.49-040017.2
0.813000 1.968000 022535.84-052646.9
0.813000 2.076000 142010.81-000656.7
0.814700 2.258000 085345.03-000959.6
0.817000 2.395000 221952.07+000054.1
0.819000 0.417000 021410.25-033134.5
0.820000 0.224000 161459.08+432504.8
0.822000 2.200000 022032.41-040332.2
0.824000 2.962000 020607.44-041323.5
0.825000 2.279000 220818.81+014815.9
0.827000 1.590000 020436.54-042831.8
0.830000 1.649000 022047.30-042619.0
0.831000 2.271000 021628.45-040147.0
0.834000 2.151000 222514.20-001619.5
0.835000 2.195000 084829.60+010356.6
0.836000 2.857000 084838.96+021035.4
0.838000 1.474000 37.624131
0.839000 -0.022000 223221.14-000617.0
0.842000 3.211000 224228.08+013909.2
0.847000 2.884000 142334.85-005849.2
0.850000 1.990000 222043.69+005900.9
0.850317 3.170000 020452.84-033711.5
0.856000 2.987000 142148.50+011107.6
0.857000 -3.992000 022140.59-053503.4
0.857000 3.289000 224002.55+012734.9
0.857200 2.994000 143454.46-002153.2
0.859000 1.223000 021324.32-053518.0
0.864000 -0.594000 084238.86+015252.2
0.867300 2.467000 223837.87+004905.6
0.870000 1.558000 162703.86+422125.1
0.870100 -2.187000 084428.51+014818.7
0.872000 3.169000 022509.79-051246.5
0.874000 1.513000 162639.84+424815.7
0.875000 -0.304000 084537.83+021806.4
0.877000 1.931000 38.390071999999996
0.877000 3.004000 220452.00+004004.7
0.877900 2.466000 221956.72+004332.4
0.882000 1.350000 022100.33-042558.0
0.882000 2.619000 144027.25-011827.4
0.883700 2.577000 143607.34+010036.3
0.885000 1.023000 141939.57+002835.2
0.886000 1.927000 220715.18-000347.2
0.887000 2.740000 223614.99+002040.7
0.888200 0.011000 223730.16-002640.0
0.899617 2.463000 021413.02-042930.1
0.900000 2.059000 020951.76-055744.2
0.902000 -2.868000 222924.16-001421.0
0.902600 2.439000 221245.86+001517.1
0.903000 3.048000 37.562557
0.907800 2.163000 221409.96+005227.0
0.910000 0.067000 224022.77-000151.9
0.912000 2.067000 161541.53+423823.5
0.915000 3.435000 022507.14-051021.1
0.921000 2.398000 022537.16-042132.9
0.923000 2.127000 020301.73-045108.6
0.924000 1.137000 224059.04+004129.6
0.930000 3.345000 142010.47+003420.0
0.932000 0.606000 223126.09+000435.7
0.932500 1.595000 223336.92+000440.8
0.935000 2.380000 020718.85-060321.3
0.936000 2.727000 38.235718
0.937700 1.274000 084725.41+010331.5
0.942000 1.784000 022106.54-050557.9
0.942000 2.470000 37.683904
0.942000 1.775000 223629.48-002341.0
0.944000 2.248000 084220.70+011310.3
0.949000 2.019000 084313.61+011634.5
0.953000 1.996000 020411.24-043953.4
0.961000 2.390000 020532.29-052436.7
0.963000 2.670000 020624.65-043525.0
0.964200 2.340000 222720.55-000159.2
0.967000 1.926000 022005.58-050928.8
0.968910 1.321000 020854.19-040850.8
0.969000 2.021000 223852.88+010248.2
0.972000 1.568000 021336.36-044145.1
0.974800 1.619000 085516.28+013236.3
0.975000 2.584000 085109.25+003228.7
0.979469 3.246000 020311.74-033735.0
0.981000 2.122000 022712.98-044636.4
0.982000 1.177000 085202.21+014336.3
0.985000 0.983000 222047.74+000852.8
