ID filter results
020649.47-041452.7 I {'amp': 235.457, 'R_sersic': 1.558, 'n_sersic': 1.4, 'center_x': -0.075, 'center_y': 0.094, 'phi_G': 0.015, 'q': 0.789, 'QSO_amp': 1792.133, 'host_amp': 5992.536, 'host_flux_ratio_percent': 76.979, 'host_mag': 17.556, 'qso_x': -0.053, 'qso_y': 0.119, 'redu_Chisq': 11.962374}
37.368373999999996 G {'amp': 7662.696, 'R_sersic': 0.1, 'n_sersic': 6.992, 'center_x': 0.098, 'center_y': 0.161, 'phi_G': -0.214, 'q': 0.801, 'QSO_amp': 1178.193, 'host_amp': 1362.369, 'host_flux_ratio_percent': 53.625, 'host_mag': 19.164, 'qso_x': 0.095, 'qso_y': 0.001, 'redu_Chisq': 13.884823}
37.368373999999996 R {'amp': 18068.058, 'R_sersic': 0.1, 'n_sersic': 6.992, 'center_x': 0.085, 'center_y': 0.102, 'phi_G': -0.214, 'q': 0.801, 'QSO_amp': 1365.066, 'host_amp': 3289.842, 'host_flux_ratio_percent': 70.675, 'host_mag': 18.207, 'qso_x': 0.103, 'qso_y': -0.0, 'redu_Chisq': 31.612754}
37.368373999999996 Z {'amp': 26644.454, 'R_sersic': 0.1, 'n_sersic': 6.992, 'center_x': 0.079, 'center_y': 0.151, 'phi_G': -0.214, 'q': 0.801, 'QSO_amp': 3961.92, 'host_amp': 4832.436, 'host_flux_ratio_percent': 54.949, 'host_mag': 17.79, 'qso_x': 0.094, 'qso_y': 0.006, 'redu_Chisq': 17.235259}
37.368373999999996 Y {'amp': 24668.687, 'R_sersic': 0.1, 'n_sersic': 6.992, 'center_x': 0.08, 'center_y': 0.086, 'phi_G': -0.214, 'q': 0.801, 'QSO_amp': 2823.325, 'host_amp': 4305.068, 'host_flux_ratio_percent': 60.393, 'host_mag': 17.915, 'qso_x': 0.099, 'qso_y': 0.053, 'redu_Chisq': 7.163338}
161725.41+435843.4 I {'amp': 278.33, 'R_sersic': 0.848, 'n_sersic': 0.984, 'center_x': -0.114, 'center_y': 0.061, 'phi_G': 0.194, 'q': 0.784, 'QSO_amp': 2271.778, 'host_amp': 1861.686, 'host_flux_ratio_percent': 45.039, 'host_mag': 18.825, 'qso_x': 0.111, 'qso_y': 0.219, 'redu_Chisq': 45.433091}
161725.41+435843.4 G {'amp': 60.192, 'R_sersic': 0.848, 'n_sersic': 0.984, 'center_x': -0.22, 'center_y': 0.029, 'phi_G': 0.194, 'q': 0.784, 'QSO_amp': 2068.373, 'host_amp': 402.561, 'host_flux_ratio_percent': 16.292, 'host_mag': 20.488, 'qso_x': 0.11, 'qso_y': 0.213, 'redu_Chisq': 4.23617}
161725.41+435843.4 R {'amp': 175.179, 'R_sersic': 0.848, 'n_sersic': 0.984, 'center_x': -0.116, 'center_y': 0.033, 'phi_G': 0.194, 'q': 0.784, 'QSO_amp': 2586.839, 'host_amp': 1171.741, 'host_flux_ratio_percent': 31.175, 'host_mag': 19.328, 'qso_x': 0.111, 'qso_y': 0.226, 'redu_Chisq': 10.361053}
161725.41+435843.4 Z {'amp': 355.258, 'R_sersic': 0.848, 'n_sersic': 0.984, 'center_x': -0.189, 'center_y': 0.009, 'phi_G': 0.194, 'q': 0.784, 'QSO_amp': 4567.86, 'host_amp': 2375.867, 'host_flux_ratio_percent': 34.216, 'host_mag': 18.56, 'qso_x': 0.115, 'qso_y': 0.222, 'redu_Chisq': 9.358119}
161725.41+435843.4 Y {'amp': 391.703, 'R_sersic': 0.848, 'n_sersic': 0.984, 'center_x': -0.192, 'center_y': 0.023, 'phi_G': 0.194, 'q': 0.784, 'QSO_amp': 3070.905, 'host_amp': 2619.605, 'host_flux_ratio_percent': 46.035, 'host_mag': 18.454, 'qso_x': 0.115, 'qso_y': 0.223, 'redu_Chisq': 3.165403}
020507.27-041135.6 I {'amp': 1030.124, 'R_sersic': 0.208, 'n_sersic': 2.448, 'center_x': -0.064, 'center_y': 0.188, 'phi_G': -0.74, 'q': 0.766, 'QSO_amp': 0.038, 'host_amp': 595.981, 'host_flux_ratio_percent': 99.994, 'host_mag': 20.062, 'qso_x': -0.067, 'qso_y': -0.17, 'redu_Chisq': 1.094809}
020507.27-041135.6 G {'amp': 169.157, 'R_sersic': 0.208, 'n_sersic': 2.448, 'center_x': -0.062, 'center_y': 0.152, 'phi_G': -0.74, 'q': 0.766, 'QSO_amp': 115.854, 'host_amp': 99.284, 'host_flux_ratio_percent': 46.149, 'host_mag': 22.008, 'qso_x': -0.053, 'qso_y': 0.197, 'redu_Chisq': 1.062737}
020507.27-041135.6 R {'amp': 631.528, 'R_sersic': 0.208, 'n_sersic': 2.448, 'center_x': -0.06, 'center_y': 0.201, 'phi_G': -0.74, 'q': 0.766, 'QSO_amp': 21.671, 'host_amp': 382.41, 'host_flux_ratio_percent': 94.637, 'host_mag': 20.544, 'qso_x': -0.136, 'qso_y': 0.125, 'redu_Chisq': 1.122452}
020507.27-041135.6 Z {'amp': 1321.013, 'R_sersic': 0.208, 'n_sersic': 2.448, 'center_x': -0.072, 'center_y': 0.017, 'phi_G': -0.74, 'q': 0.766, 'QSO_amp': 132.016, 'host_amp': 756.044, 'host_flux_ratio_percent': 85.134, 'host_mag': 19.804, 'qso_x': -0.025, 'qso_y': 0.017, 'redu_Chisq': 1.072324}
020507.27-041135.6 Y {'amp': 1410.523, 'R_sersic': 0.208, 'n_sersic': 2.448, 'center_x': -0.074, 'center_y': 0.181, 'phi_G': -0.74, 'q': 0.766, 'QSO_amp': 19.546, 'host_amp': 804.862, 'host_flux_ratio_percent': 97.629, 'host_mag': 19.736, 'qso_x': 0.148, 'qso_y': 0.6, 'redu_Chisq': 1.048858}
021759.71-034359.9 I {'amp': 93.991, 'R_sersic': 1.022, 'n_sersic': 3.974, 'center_x': 0.239, 'center_y': -0.042, 'phi_G': 0.422, 'q': 0.537, 'QSO_amp': 0.053, 'host_amp': 1099.696, 'host_flux_ratio_percent': 99.995, 'host_mag': 19.397, 'qso_x': 0.098, 'qso_y': -0.024, 'redu_Chisq': 3.112843}
021759.71-034359.9 G {'amp': 28.613, 'R_sersic': 1.022, 'n_sersic': 3.974, 'center_x': 0.034, 'center_y': -0.088, 'phi_G': 0.422, 'q': 0.537, 'QSO_amp': 20.706, 'host_amp': 328.44, 'host_flux_ratio_percent': 94.07, 'host_mag': 20.709, 'qso_x': 0.118, 'qso_y': 0.047, 'redu_Chisq': 3.172476}
021759.71-034359.9 R {'amp': 64.339, 'R_sersic': 1.022, 'n_sersic': 3.974, 'center_x': 0.053, 'center_y': -0.057, 'phi_G': 0.422, 'q': 0.537, 'QSO_amp': 34.473, 'host_amp': 750.011, 'host_flux_ratio_percent': 95.606, 'host_mag': 19.812, 'qso_x': 0.084, 'qso_y': 0.005, 'redu_Chisq': 3.092641}
021759.71-034359.9 Z {'amp': 118.926, 'R_sersic': 1.022, 'n_sersic': 3.974, 'center_x': 0.227, 'center_y': -0.048, 'phi_G': 0.422, 'q': 0.537, 'QSO_amp': 154.806, 'host_amp': 1399.941, 'host_flux_ratio_percent': 90.043, 'host_mag': 19.135, 'qso_x': 0.252, 'qso_y': -0.02, 'redu_Chisq': 2.045694}
021759.71-034359.9 Y {'amp': 125.973, 'R_sersic': 1.022, 'n_sersic': 3.974, 'center_x': 0.226, 'center_y': -0.047, 'phi_G': 0.422, 'q': 0.537, 'QSO_amp': 76.82, 'host_amp': 1491.498, 'host_flux_ratio_percent': 95.102, 'host_mag': 19.066, 'qso_x': 0.252, 'qso_y': -0.084, 'redu_Chisq': 1.439232}
022711.99-033353.2 I {'amp': 63.787, 'R_sersic': 1.405, 'n_sersic': 2.024, 'center_x': 0.017, 'center_y': 0.05, 'phi_G': 1.056, 'q': 0.712, 'QSO_amp': 288.344, 'host_amp': 1389.953, 'host_flux_ratio_percent': 82.819, 'host_mag': 19.142, 'qso_x': 0.015, 'qso_y': 0.064, 'redu_Chisq': 2.930359}
022711.99-033353.2 G {'amp': 10.693, 'R_sersic': 1.405, 'n_sersic': 2.024, 'center_x': 0.006, 'center_y': 0.023, 'phi_G': 1.056, 'q': 0.712, 'QSO_amp': 116.557, 'host_amp': 232.458, 'host_flux_ratio_percent': 66.604, 'host_mag': 21.084, 'qso_x': 0.014, 'qso_y': 0.07, 'redu_Chisq': 1.706958}
022711.99-033353.2 R {'amp': 38.904, 'R_sersic': 1.405, 'n_sersic': 2.024, 'center_x': 0.003, 'center_y': 0.043, 'phi_G': 1.056, 'q': 0.712, 'QSO_amp': 185.385, 'host_amp': 845.795, 'host_flux_ratio_percent': 82.022, 'host_mag': 19.682, 'qso_x': 0.009, 'qso_y': 0.068, 'redu_Chisq': 1.756188}
022711.99-033353.2 Z {'amp': 85.384, 'R_sersic': 1.405, 'n_sersic': 2.024, 'center_x': 0.013, 'center_y': 0.046, 'phi_G': 1.056, 'q': 0.712, 'QSO_amp': 697.276, 'host_amp': 1858.597, 'host_flux_ratio_percent': 72.719, 'host_mag': 18.827, 'qso_x': 0.017, 'qso_y': 0.071, 'redu_Chisq': 1.448786}
022711.99-033353.2 Y {'amp': 99.803, 'R_sersic': 1.405, 'n_sersic': 2.024, 'center_x': -0.007, 'center_y': 0.051, 'phi_G': 1.056, 'q': 0.712, 'QSO_amp': 433.173, 'host_amp': 2174.265, 'host_flux_ratio_percent': 83.387, 'host_mag': 18.657, 'qso_x': 0.021, 'qso_y': 0.069, 'redu_Chisq': 1.321165}
142441.20-000727.1 I {'amp': 4735.952, 'R_sersic': 0.1, 'n_sersic': 6.982, 'center_x': 0.039, 'center_y': -0.059, 'phi_G': 0.337, 'q': 0.916, 'QSO_amp': 1974.812, 'host_amp': 1425.685, 'host_flux_ratio_percent': 41.926, 'host_mag': 19.115, 'qso_x': -0.02, 'qso_y': 0.044, 'redu_Chisq': 5.300957}
142441.20-000727.1 G {'amp': 132.856, 'R_sersic': 0.1, 'n_sersic': 6.982, 'center_x': 0.138, 'center_y': 0.052, 'phi_G': 0.337, 'q': 0.916, 'QSO_amp': 2337.815, 'host_amp': 44.007, 'host_flux_ratio_percent': 1.848, 'host_mag': 22.891, 'qso_x': -0.008, 'qso_y': 0.024, 'redu_Chisq': 1.362987}
142441.20-000727.1 R {'amp': 948.014, 'R_sersic': 0.1, 'n_sersic': 6.982, 'center_x': 0.111, 'center_y': -0.061, 'phi_G': 0.337, 'q': 0.916, 'QSO_amp': 2734.033, 'host_amp': 237.079, 'host_flux_ratio_percent': 7.979, 'host_mag': 21.063, 'qso_x': -0.02, 'qso_y': 0.028, 'redu_Chisq': 4.335532}
142441.20-000727.1 Z {'amp': 5285.641, 'R_sersic': 0.1, 'n_sersic': 6.982, 'center_x': 0.037, 'center_y': 0.038, 'phi_G': 0.337, 'q': 0.916, 'QSO_amp': 1471.453, 'host_amp': 4117.626, 'host_flux_ratio_percent': 73.673, 'host_mag': 17.963, 'qso_x': -0.05, 'qso_y': 0.061, 'redu_Chisq': 2.086628}
142441.20-000727.1 Y {'amp': 5344.973, 'R_sersic': 0.1, 'n_sersic': 6.982, 'center_x': -0.034, 'center_y': -0.0, 'phi_G': 0.337, 'q': 0.916, 'QSO_amp': 3381.514, 'host_amp': 1135.383, 'host_flux_ratio_percent': 25.136, 'host_mag': 19.362, 'qso_x': -0.013, 'qso_y': 0.02, 'redu_Chisq': 1.195546}
022430.56-050841.8 I {'amp': 68.361, 'R_sersic': 1.723, 'n_sersic': 1.6, 'center_x': 0.051, 'center_y': 0.009, 'phi_G': -0.034, 'q': 0.544, 'QSO_amp': 210.452, 'host_amp': 1537.754, 'host_flux_ratio_percent': 87.962, 'host_mag': 19.033, 'qso_x': 0.059, 'qso_y': 0.006, 'redu_Chisq': 7.17744}
022430.56-050841.8 G {'amp': 13.822, 'R_sersic': 1.723, 'n_sersic': 1.6, 'center_x': 0.257, 'center_y': 0.025, 'phi_G': -0.034, 'q': 0.544, 'QSO_amp': 47.156, 'host_amp': 310.235, 'host_flux_ratio_percent': 86.806, 'host_mag': 20.771, 'qso_x': 0.196, 'qso_y': 0.0, 'redu_Chisq': 2.994885}
022430.56-050841.8 R {'amp': 44.403, 'R_sersic': 1.723, 'n_sersic': 1.6, 'center_x': 0.247, 'center_y': 0.011, 'phi_G': -0.034, 'q': 0.544, 'QSO_amp': 98.215, 'host_amp': 995.378, 'host_flux_ratio_percent': 91.019, 'host_mag': 19.505, 'qso_x': 0.194, 'qso_y': 0.0, 'redu_Chisq': 3.408431}
022430.56-050841.8 Z {'amp': 93.251, 'R_sersic': 1.723, 'n_sersic': 1.6, 'center_x': 0.06, 'center_y': 0.024, 'phi_G': -0.034, 'q': 0.544, 'QSO_amp': 361.937, 'host_amp': 2095.041, 'host_flux_ratio_percent': 85.269, 'host_mag': 18.697, 'qso_x': 0.041, 'qso_y': 0.012, 'redu_Chisq': 3.262501}
022430.56-050841.8 Y {'amp': 106.924, 'R_sersic': 1.723, 'n_sersic': 1.6, 'center_x': 0.057, 'center_y': 0.005, 'phi_G': -0.034, 'q': 0.544, 'QSO_amp': 361.746, 'host_amp': 2399.762, 'host_flux_ratio_percent': 86.9, 'host_mag': 18.55, 'qso_x': 0.055, 'qso_y': 0.011, 'redu_Chisq': 1.736583}
021637.68-045923.2 I {'amp': 688.584, 'R_sersic': 0.167, 'n_sersic': 2.853, 'center_x': -0.038, 'center_y': 0.241, 'phi_G': -1.087, 'q': 0.824, 'QSO_amp': 3.91, 'host_amp': 299.182, 'host_flux_ratio_percent': 98.71, 'host_mag': 20.81, 'qso_x': -0.151, 'qso_y': 0.037, 'redu_Chisq': 1.443469}
021637.68-045923.2 G {'amp': 241.896, 'R_sersic': 0.167, 'n_sersic': 2.853, 'center_x': -0.037, 'center_y': 0.256, 'phi_G': -1.087, 'q': 0.824, 'QSO_amp': 27.49, 'host_amp': 103.664, 'host_flux_ratio_percent': 79.04, 'host_mag': 21.961, 'qso_x': -0.022, 'qso_y': 0.118, 'redu_Chisq': 1.195639}
021637.68-045923.2 R {'amp': 501.644, 'R_sersic': 0.167, 'n_sersic': 2.853, 'center_x': -0.028, 'center_y': 0.24, 'phi_G': -1.087, 'q': 0.824, 'QSO_amp': 27.614, 'host_amp': 213.832, 'host_flux_ratio_percent': 88.563, 'host_mag': 21.175, 'qso_x': -0.128, 'qso_y': 0.22, 'redu_Chisq': 1.270356}
021637.68-045923.2 Z {'amp': 846.391, 'R_sersic': 0.167, 'n_sersic': 2.853, 'center_x': -0.023, 'center_y': 0.237, 'phi_G': -1.087, 'q': 0.824, 'QSO_amp': 95.106, 'host_amp': 358.414, 'host_flux_ratio_percent': 79.029, 'host_mag': 20.614, 'qso_x': -0.025, 'qso_y': 0.215, 'redu_Chisq': 1.280231}
021637.68-045923.2 Y {'amp': 876.518, 'R_sersic': 0.167, 'n_sersic': 2.853, 'center_x': -0.047, 'center_y': 0.232, 'phi_G': -1.087, 'q': 0.824, 'QSO_amp': 19.932, 'host_amp': 401.985, 'host_flux_ratio_percent': 95.276, 'host_mag': 20.489, 'qso_x': -0.048, 'qso_y': 0.565, 'redu_Chisq': 1.065916}
143624.81-002905.3 I {'amp': 57.386, 'R_sersic': 2.475, 'n_sersic': 4.593, 'center_x': 0.043, 'center_y': 0.126, 'phi_G': -0.453, 'q': 0.7, 'QSO_amp': 3176.52, 'host_amp': 4843.755, 'host_flux_ratio_percent': 60.394, 'host_mag': 17.787, 'qso_x': 0.223, 'qso_y': 0.22, 'redu_Chisq': 31.948928}
143624.81-002905.3 G {'amp': 14.339, 'R_sersic': 2.475, 'n_sersic': 4.593, 'center_x': -0.163, 'center_y': 0.154, 'phi_G': -0.453, 'q': 0.7, 'QSO_amp': 4582.318, 'host_amp': 1086.414, 'host_flux_ratio_percent': 19.165, 'host_mag': 19.41, 'qso_x': 0.007, 'qso_y': 0.192, 'redu_Chisq': 7.164613}
143624.81-002905.3 R {'amp': 38.964, 'R_sersic': 2.475, 'n_sersic': 4.593, 'center_x': -0.1, 'center_y': 0.171, 'phi_G': -0.453, 'q': 0.7, 'QSO_amp': 5059.113, 'host_amp': 2949.838, 'host_flux_ratio_percent': 36.832, 'host_mag': 18.326, 'qso_x': 0.012, 'qso_y': 0.195, 'redu_Chisq': 13.478056}
143624.81-002905.3 Z {'amp': 77.607, 'R_sersic': 2.475, 'n_sersic': 4.593, 'center_x': 0.047, 'center_y': 0.126, 'phi_G': -0.453, 'q': 0.7, 'QSO_amp': 7004.68, 'host_amp': 6166.534, 'host_flux_ratio_percent': 46.818, 'host_mag': 17.525, 'qso_x': 0.197, 'qso_y': 0.21, 'redu_Chisq': 21.604279}
143624.81-002905.3 Y {'amp': 80.577, 'R_sersic': 2.475, 'n_sersic': 4.593, 'center_x': 0.122, 'center_y': 0.17, 'phi_G': -0.453, 'q': 0.7, 'QSO_amp': 5461.951, 'host_amp': 6099.311, 'host_flux_ratio_percent': 52.756, 'host_mag': 17.537, 'qso_x': 0.17, 'qso_y': 0.189, 'redu_Chisq': 5.617637}
020411.47-051032.7 I {'amp': 101.002, 'R_sersic': 0.979, 'n_sersic': 3.61, 'center_x': 0.059, 'center_y': -0.141, 'phi_G': -0.479, 'q': 0.559, 'QSO_amp': 144.01, 'host_amp': 1103.346, 'host_flux_ratio_percent': 88.455, 'host_mag': 19.393, 'qso_x': 0.048, 'qso_y': -0.147, 'redu_Chisq': 1.620682}
020411.47-051032.7 G {'amp': 18.129, 'R_sersic': 0.979, 'n_sersic': 3.61, 'center_x': 0.048, 'center_y': -0.155, 'phi_G': -0.479, 'q': 0.559, 'QSO_amp': 157.855, 'host_amp': 194.461, 'host_flux_ratio_percent': 55.195, 'host_mag': 21.278, 'qso_x': 0.055, 'qso_y': -0.132, 'redu_Chisq': 1.150834}
020411.47-051032.7 R {'amp': 62.222, 'R_sersic': 0.979, 'n_sersic': 3.61, 'center_x': 0.059, 'center_y': -0.145, 'phi_G': -0.479, 'q': 0.559, 'QSO_amp': 150.103, 'host_amp': 675.065, 'host_flux_ratio_percent': 81.809, 'host_mag': 19.927, 'qso_x': 0.05, 'qso_y': -0.136, 'redu_Chisq': 1.332553}
020411.47-051032.7 Z {'amp': 129.436, 'R_sersic': 0.979, 'n_sersic': 3.61, 'center_x': 0.053, 'center_y': -0.15, 'phi_G': -0.479, 'q': 0.559, 'QSO_amp': 386.547, 'host_amp': 1396.641, 'host_flux_ratio_percent': 78.323, 'host_mag': 19.137, 'qso_x': 0.057, 'qso_y': -0.143, 'redu_Chisq': 1.260026}
020411.47-051032.7 Y {'amp': 156.644, 'R_sersic': 0.979, 'n_sersic': 3.61, 'center_x': 0.028, 'center_y': -0.132, 'phi_G': -0.479, 'q': 0.559, 'QSO_amp': 209.715, 'host_amp': 1712.015, 'host_flux_ratio_percent': 89.087, 'host_mag': 18.916, 'qso_x': 0.098, 'qso_y': -0.173, 'redu_Chisq': 1.030886}
37.552353000000004 I {'amp': 131.768, 'R_sersic': 1.414, 'n_sersic': 1.453, 'center_x': 0.114, 'center_y': 0.093, 'phi_G': 0.237, 'q': 0.597, 'QSO_amp': 1159.637, 'host_amp': 2160.111, 'host_flux_ratio_percent': 65.069, 'host_mag': 18.664, 'qso_x': 0.034, 'qso_y': 0.093, 'redu_Chisq': 26.877282}
37.552353000000004 G {'amp': 34.302, 'R_sersic': 1.414, 'n_sersic': 1.453, 'center_x': 0.197, 'center_y': 0.069, 'phi_G': 0.237, 'q': 0.597, 'QSO_amp': 1066.708, 'host_amp': 561.478, 'host_flux_ratio_percent': 34.485, 'host_mag': 20.127, 'qso_x': 0.033, 'qso_y': 0.086, 'redu_Chisq': 6.859584}
37.552353000000004 R {'amp': 92.629, 'R_sersic': 1.414, 'n_sersic': 1.453, 'center_x': 0.118, 'center_y': 0.063, 'phi_G': 0.237, 'q': 0.597, 'QSO_amp': 1192.915, 'host_amp': 1515.282, 'host_flux_ratio_percent': 55.952, 'host_mag': 19.049, 'qso_x': 0.029, 'qso_y': 0.095, 'redu_Chisq': 7.173362}
37.552353000000004 Z {'amp': 176.458, 'R_sersic': 1.414, 'n_sersic': 1.453, 'center_x': 0.123, 'center_y': 0.089, 'phi_G': 0.237, 'q': 0.597, 'QSO_amp': 2400.159, 'host_amp': 2890.383, 'host_flux_ratio_percent': 54.633, 'host_mag': 18.348, 'qso_x': 0.027, 'qso_y': 0.087, 'redu_Chisq': 7.882676}
37.552353000000004 Y {'amp': 191.037, 'R_sersic': 1.414, 'n_sersic': 1.453, 'center_x': 0.102, 'center_y': 0.083, 'phi_G': 0.237, 'q': 0.597, 'QSO_amp': 1604.07, 'host_amp': 3129.359, 'host_flux_ratio_percent': 66.112, 'host_mag': 18.261, 'qso_x': 0.034, 'qso_y': 0.084, 'redu_Chisq': 3.160378}
142545.90+002242.7 I {'amp': 23.539, 'R_sersic': 2.422, 'n_sersic': 4.579, 'center_x': -0.041, 'center_y': 0.182, 'phi_G': -1.428, 'q': 0.858, 'QSO_amp': 1417.548, 'host_amp': 2064.462, 'host_flux_ratio_percent': 59.289, 'host_mag': 18.713, 'qso_x': -0.017, 'qso_y': 0.191, 'redu_Chisq': 2.482388}
142545.90+002242.7 G {'amp': 4.882, 'R_sersic': 2.422, 'n_sersic': 4.579, 'center_x': -0.078, 'center_y': 0.052, 'phi_G': -1.428, 'q': 0.858, 'QSO_amp': 2069.626, 'host_amp': 425.694, 'host_flux_ratio_percent': 17.06, 'host_mag': 20.427, 'qso_x': -0.007, 'qso_y': 0.025, 'redu_Chisq': 1.717154}
142545.90+002242.7 R {'amp': 14.026, 'R_sersic': 2.422, 'n_sersic': 4.579, 'center_x': -0.037, 'center_y': -0.006, 'phi_G': -1.428, 'q': 0.858, 'QSO_amp': 1803.87, 'host_amp': 1229.191, 'host_flux_ratio_percent': 40.526, 'host_mag': 19.276, 'qso_x': -0.012, 'qso_y': 0.034, 'redu_Chisq': 4.855185}
142545.90+002242.7 Z {'amp': 32.884, 'R_sersic': 2.422, 'n_sersic': 4.579, 'center_x': -0.03, 'center_y': 0.199, 'phi_G': -1.428, 'q': 0.858, 'QSO_amp': 3172.01, 'host_amp': 2892.909, 'host_flux_ratio_percent': 47.699, 'host_mag': 18.347, 'qso_x': -0.01, 'qso_y': 0.194, 'redu_Chisq': 2.087521}
142545.90+002242.7 Y {'amp': 39.111, 'R_sersic': 2.422, 'n_sersic': 4.579, 'center_x': -0.031, 'center_y': 0.193, 'phi_G': -1.428, 'q': 0.858, 'QSO_amp': 1766.861, 'host_amp': 3426.76, 'host_flux_ratio_percent': 65.98, 'host_mag': 18.163, 'qso_x': -0.015, 'qso_y': 0.194, 'redu_Chisq': 1.316963}
084940.34+014638.4 I {'amp': 37.362, 'R_sersic': 2.477, 'n_sersic': 3.79, 'center_x': -0.083, 'center_y': -0.121, 'phi_G': 0.349, 'q': 0.905, 'QSO_amp': 311.107, 'host_amp': 3302.784, 'host_flux_ratio_percent': 91.391, 'host_mag': 18.203, 'qso_x': -0.061, 'qso_y': -0.062, 'redu_Chisq': 6.6747}
084940.34+014638.4 G {'amp': 6.664, 'R_sersic': 2.477, 'n_sersic': 3.79, 'center_x': 0.047, 'center_y': -0.12, 'phi_G': 0.349, 'q': 0.905, 'QSO_amp': 51.267, 'host_amp': 594.112, 'host_flux_ratio_percent': 92.056, 'host_mag': 20.065, 'qso_x': 0.123, 'qso_y': -0.084, 'redu_Chisq': 2.535986}
084940.34+014638.4 R {'amp': 22.29, 'R_sersic': 2.477, 'n_sersic': 3.79, 'center_x': 0.078, 'center_y': -0.115, 'phi_G': 0.349, 'q': 0.905, 'QSO_amp': 162.207, 'host_amp': 1962.163, 'host_flux_ratio_percent': 92.364, 'host_mag': 18.768, 'qso_x': 0.132, 'qso_y': -0.075, 'redu_Chisq': 4.221024}
084940.34+014638.4 Z {'amp': 50.767, 'R_sersic': 2.477, 'n_sersic': 3.79, 'center_x': -0.08, 'center_y': -0.13, 'phi_G': 0.349, 'q': 0.905, 'QSO_amp': 597.844, 'host_amp': 4474.604, 'host_flux_ratio_percent': 88.214, 'host_mag': 17.873, 'qso_x': -0.049, 'qso_y': -0.064, 'redu_Chisq': 3.439038}
084940.34+014638.4 Y {'amp': 59.349, 'R_sersic': 2.477, 'n_sersic': 3.79, 'center_x': -0.081, 'center_y': -0.13, 'phi_G': 0.349, 'q': 0.905, 'QSO_amp': 559.264, 'host_amp': 5241.573, 'host_flux_ratio_percent': 90.359, 'host_mag': 17.701, 'qso_x': -0.049, 'qso_y': -0.06, 'redu_Chisq': 2.167605}
162308.00+430646.1 I {'amp': 1288.052, 'R_sersic': 0.408, 'n_sersic': 1.186, 'center_x': -0.117, 'center_y': -0.14, 'phi_G': -0.796, 'q': 0.816, 'QSO_amp': 569.227, 'host_amp': 2258.594, 'host_flux_ratio_percent': 79.87, 'host_mag': 18.615, 'qso_x': 0.022, 'qso_y': 0.33, 'redu_Chisq': 86.542526}
162308.00+430646.1 G {'amp': 87.59, 'R_sersic': 0.408, 'n_sersic': 1.186, 'center_x': 0.007, 'center_y': -0.5, 'phi_G': -0.796, 'q': 0.816, 'QSO_amp': 6755.619, 'host_amp': 153.176, 'host_flux_ratio_percent': 2.217, 'host_mag': 21.537, 'qso_x': -0.057, 'qso_y': -0.035, 'redu_Chisq': 10.849611}
162308.00+430646.1 R {'amp': 226.262, 'R_sersic': 0.408, 'n_sersic': 1.186, 'center_x': -0.036, 'center_y': -0.099, 'phi_G': -0.796, 'q': 0.816, 'QSO_amp': 6043.076, 'host_amp': 396.124, 'host_flux_ratio_percent': 6.152, 'host_mag': 20.505, 'qso_x': -0.058, 'qso_y': -0.044, 'redu_Chisq': 11.566337}
162308.00+430646.1 Z {'amp': 899.707, 'R_sersic': 0.408, 'n_sersic': 1.186, 'center_x': -0.051, 'center_y': -0.105, 'phi_G': -0.796, 'q': 0.816, 'QSO_amp': 9162.195, 'host_amp': 1576.192, 'host_flux_ratio_percent': 14.678, 'host_mag': 19.006, 'qso_x': -0.058, 'qso_y': -0.041, 'redu_Chisq': 5.840914}
162308.00+430646.1 Y {'amp': 594.953, 'R_sersic': 0.408, 'n_sersic': 1.186, 'center_x': -0.046, 'center_y': -0.021, 'phi_G': -0.796, 'q': 0.816, 'QSO_amp': 5740.282, 'host_amp': 1042.495, 'host_flux_ratio_percent': 15.37, 'host_mag': 19.455, 'qso_x': -0.06, 'qso_y': -0.051, 'redu_Chisq': 4.1829}
022651.77-045715.0 I {'amp': 186.186, 'R_sersic': 0.646, 'n_sersic': 0.937, 'center_x': 0.091, 'center_y': -0.035, 'phi_G': 0.379, 'q': 0.336, 'QSO_amp': 213.896, 'host_amp': 303.625, 'host_flux_ratio_percent': 58.669, 'host_mag': 20.794, 'qso_x': 0.071, 'qso_y': -0.016, 'redu_Chisq': 1.062907}
022651.77-045715.0 G {'amp': 38.981, 'R_sersic': 0.646, 'n_sersic': 0.937, 'center_x': 0.117, 'center_y': -0.124, 'phi_G': 0.379, 'q': 0.336, 'QSO_amp': 53.825, 'host_amp': 63.609, 'host_flux_ratio_percent': 54.166, 'host_mag': 22.491, 'qso_x': 0.054, 'qso_y': 0.03, 'redu_Chisq': 1.17791}
022651.77-045715.0 R {'amp': 120.921, 'R_sersic': 0.646, 'n_sersic': 0.937, 'center_x': 0.071, 'center_y': -0.06, 'phi_G': 0.379, 'q': 0.336, 'QSO_amp': 144.544, 'host_amp': 197.149, 'host_flux_ratio_percent': 57.698, 'host_mag': 21.263, 'qso_x': 0.094, 'qso_y': -0.014, 'redu_Chisq': 1.136396}
