ID filter results
020649.47-041452.7 I {'amp': 235.457, 'R_sersic': 1.558, 'n_sersic': 1.4, 'center_x': -0.075, 'center_y': 0.094, 'phi_G': 0.015, 'q': 0.789, 'QSO_amp': 1792.133, 'host_amp': 5992.536, 'host_flux_ratio_percent': 76.979, 'host_mag': 17.556, 'qso_x': -0.053, 'qso_y': 0.119, 'redu_Chisq': 11.962374}
021838.92-042041.3 G {'amp': 130.79, 'R_sersic': 1.572, 'n_sersic': 2.482, 'center_x': 0.013, 'center_y': -0.008, 'phi_G': 0.364, 'q': 0.704, 'QSO_amp': 380.062, 'host_amp': 3700.963, 'host_flux_ratio_percent': 90.687, 'host_mag': 18.079, 'qso_x': -0.077, 'qso_y': -0.008, 'redu_Chisq': 19.97775}
021838.92-042041.3 R {'amp': 251.817, 'R_sersic': 1.572, 'n_sersic': 2.482, 'center_x': -0.005, 'center_y': -0.009, 'phi_G': 0.364, 'q': 0.704, 'QSO_amp': 328.824, 'host_amp': 7117.247, 'host_flux_ratio_percent': 95.584, 'host_mag': 17.369, 'qso_x': -0.1, 'qso_y': 0.0, 'redu_Chisq': 16.930845}
021838.92-042041.3 Z {'amp': 401.279, 'R_sersic': 1.572, 'n_sersic': 2.482, 'center_x': -0.023, 'center_y': 0.159, 'phi_G': 0.364, 'q': 0.704, 'QSO_amp': 540.839, 'host_amp': 11377.188, 'host_flux_ratio_percent': 95.462, 'host_mag': 16.86, 'qso_x': -0.073, 'qso_y': 0.168, 'redu_Chisq': 25.931202}
021838.92-042041.3 Y {'amp': 449.544, 'R_sersic': 1.572, 'n_sersic': 2.482, 'center_x': -0.027, 'center_y': 0.161, 'phi_G': 0.364, 'q': 0.704, 'QSO_amp': 830.302, 'host_amp': 12738.223, 'host_flux_ratio_percent': 93.881, 'host_mag': 16.737, 'qso_x': -0.059, 'qso_y': 0.168, 'redu_Chisq': 10.202886}
022012.23-034111.7 I {'amp': 92575.535, 'R_sersic': 0.101, 'n_sersic': 6.995, 'center_x': -0.16, 'center_y': -0.099, 'phi_G': -0.915, 'q': 0.844, 'QSO_amp': -10872.442, 'host_amp': 17999.938, 'host_flux_ratio_percent': 252.542, 'host_mag': 16.362, 'qso_x': -0.147, 'qso_y': -0.086, 'redu_Chisq': 145.334807}
022012.23-034111.7 G {'amp': 22270.855, 'R_sersic': 0.101, 'n_sersic': 6.995, 'center_x': -0.126, 'center_y': -0.046, 'phi_G': -0.915, 'q': 0.844, 'QSO_amp': -18434.44, 'host_amp': 24718.025, 'host_flux_ratio_percent': 393.375, 'host_mag': 16.017, 'qso_x': -0.069, 'qso_y': -0.069, 'redu_Chisq': 50.025805}
022012.23-034111.7 R {'amp': 31474.179, 'R_sersic': 0.101, 'n_sersic': 6.995, 'center_x': -0.156, 'center_y': -0.137, 'phi_G': -0.915, 'q': 0.844, 'QSO_amp': 2172.799, 'host_amp': 6403.839, 'host_flux_ratio_percent': 74.666, 'host_mag': 17.484, 'qso_x': -0.185, 'qso_y': -0.084, 'redu_Chisq': 60.810788}
022012.23-034111.7 Z {'amp': 49407.174, 'R_sersic': 0.101, 'n_sersic': 6.995, 'center_x': -0.163, 'center_y': -0.124, 'phi_G': -0.915, 'q': 0.844, 'QSO_amp': 832.036, 'host_amp': 9937.01, 'host_flux_ratio_percent': 92.274, 'host_mag': 17.007, 'qso_x': -0.092, 'qso_y': -0.105, 'redu_Chisq': 61.880151}
022012.23-034111.7 Y {'amp': 47650.588, 'R_sersic': 0.101, 'n_sersic': 6.995, 'center_x': -0.174, 'center_y': -0.121, 'phi_G': -0.915, 'q': 0.844, 'QSO_amp': 2310.232, 'host_amp': 9564.312, 'host_flux_ratio_percent': 80.545, 'host_mag': 17.048, 'qso_x': -0.084, 'qso_y': -0.121, 'redu_Chisq': 38.719743}
223702.93+011120.2 I {'amp': 125.86, 'R_sersic': 2.019, 'n_sersic': 6.998, 'center_x': -0.073, 'center_y': 0.213, 'phi_G': -0.014, 'q': 0.734, 'QSO_amp': 680.376, 'host_amp': 8146.929, 'host_flux_ratio_percent': 92.292, 'host_mag': 17.223, 'qso_x': -0.044, 'qso_y': 0.275, 'redu_Chisq': 56.235849}
