ID filter hostmag
022430.56-050841.8 Z 18.697000
022430.56-050841.8 Y 18.550000
021637.68-045923.2 I 20.810000
021637.68-045923.2 G 21.961000
021637.68-045923.2 R 21.175000
021637.68-045923.2 Z 20.614000
021637.68-045923.2 Y 20.489000
143624.81-002905.3 I 17.787000
143624.81-002905.3 G 19.410000
143624.81-002905.3 R 18.326000
143624.81-002905.3 Z 17.525000
143624.81-002905.3 Y 17.537000
020411.47-051032.7 I 19.393000
020411.47-051032.7 G 21.278000
020411.47-051032.7 R 19.927000
020411.47-051032.7 Z 19.137000
020411.47-051032.7 Y 18.916000
37.552353000000004 I 18.664000
37.552353000000004 G 20.127000
37.552353000000004 R 19.049000
37.552353000000004 Z 18.348000
37.552353000000004 Y 18.261000
142545.90+002242.7 I 18.713000
142545.90+002242.7 G 20.427000
142545.90+002242.7 R 19.276000
142545.90+002242.7 Z 18.347000
142545.90+002242.7 Y 18.163000
084940.34+014638.4 I 18.203000
084940.34+014638.4 G 20.065000
084940.34+014638.4 R 18.768000
084940.34+014638.4 Z 17.873000
084940.34+014638.4 Y 17.701000
162308.00+430646.1 I 18.615000
162308.00+430646.1 G 21.537000
162308.00+430646.1 R 20.505000
162308.00+430646.1 Z 19.006000
162308.00+430646.1 Y 19.455000
022651.77-045715.0 I 20.794000
022651.77-045715.0 G 22.491000
022651.77-045715.0 R 21.263000
022651.77-045715.0 Z 20.431000
022651.77-045715.0 Y 20.186000
020423.94-050619.6 I 19.046000
020423.94-050619.6 G 20.789000
020423.94-050619.6 R 19.535000
020423.94-050619.6 Z 18.736000
020423.94-050619.6 Y 18.582000
142800.19-001026.9 I 18.801000
142800.19-001026.9 G 20.515000
142800.19-001026.9 R 19.339000
142800.19-001026.9 Z 18.483000
142800.19-001026.9 Y 18.345000
37.705566999999995 I 19.584000
37.705566999999995 G 22.714000
37.705566999999995 R 20.831000
37.705566999999995 Z 19.633000
37.705566999999995 Y 19.142000
021350.92-040819.3 I 19.782000
021350.92-040819.3 G 21.989000
021350.92-040819.3 R 20.462000
021350.92-040819.3 Z 19.483000
021350.92-040819.3 Y 19.347000
143929.51-001118.3 I 19.098000
143929.51-001118.3 G 21.101000
143929.51-001118.3 R 19.694000
143929.51-001118.3 Z 18.759000
143929.51-001118.3 Y 18.579000
090550.30+003948.1 I 18.482000
090550.30+003948.1 G 20.567000
090550.30+003948.1 R 19.059000
090550.30+003948.1 Z 18.167000
090550.30+003948.1 Y 17.983000
38.155134000000004 I 19.987000
38.155134000000004 G 21.492000
38.155134000000004 R 20.406000
38.155134000000004 Z 19.669000
38.155134000000004 Y 19.616000
37.570149 I 18.799000
37.570149 G 20.329000
37.570149 R 19.247000
37.570149 Z 18.482000
37.570149 Y 18.350000
020514.77-045639.7 I 18.694000
020514.77-045639.7 G 20.548000
020514.77-045639.7 R 19.191000
020514.77-045639.7 Z 18.412000
020514.77-045639.7 Y 18.195000
37.661116 I 18.933000
37.661116 G 20.556000
37.661116 R 19.405000
37.661116 Z 18.604000
37.661116 Y 18.451000
37.649283000000004 I 19.515000
37.649283000000004 G 21.607000
37.649283000000004 R 19.957000
37.649283000000004 Z 19.190000
37.649283000000004 Y 18.937000
37.233151 I 19.482000
37.233151 G 21.495000
37.233151 R 20.005000
37.233151 Z 19.135000
37.233151 Y 18.899000
142310.36-003244.2 I 19.242000
142310.36-003244.2 G 21.184000
142310.36-003244.2 R 19.810000
142310.36-003244.2 Z 18.953000
142310.36-003244.2 Y 18.749000
021839.30-040821.4 I 19.285000
021839.30-040821.4 G 20.599000
021839.30-040821.4 R 19.622000
021839.30-040821.4 Z 18.962000
021839.30-040821.4 Y 18.883000
37.110304 I 24.622000
37.110304 G 22.063000
37.110304 R 21.653000
37.110304 Z 22.767000
37.110304 Y 23.570000
020717.51-045105.9 I 21.284000
020717.51-045105.9 G 22.724000
020717.51-045105.9 R 21.556000
020717.51-045105.9 Z 20.904000
020717.51-045105.9 Y 20.860000
38.222424 I 19.687000
38.222424 G 21.415000
38.222424 R 20.189000
38.222424 Z 19.347000
38.222424 Y 19.203000
120710.25+000806.1 I 18.469000
120710.25+000806.1 G 20.009000
120710.25+000806.1 R 18.923000
120710.25+000806.1 Z 18.160000
120710.25+000806.1 Y 18.039000
021359.12-054436.6 I 19.447000
021359.12-054436.6 G 21.457000
021359.12-054436.6 R 20.059000
021359.12-054436.6 Z 19.143000
021359.12-054436.6 Y 18.907000
224139.03+003808.3 I 20.198000
224139.03+003808.3 G 22.578000
224139.03+003808.3 R 20.982000
224139.03+003808.3 Z 20.088000
224139.03+003808.3 Y 19.656000
020515.23-043959.6 I 20.002000
020515.23-043959.6 G 22.164000
020515.23-043959.6 R 20.656000
020515.23-043959.6 Z 19.697000
020515.23-043959.6 Y 19.525000
120729.36-003214.3 I 20.838000
120729.36-003214.3 G 24.187000
120729.36-003214.3 R 21.761000
120729.36-003214.3 Z 20.839000
120729.36-003214.3 Y 20.183000
221155.73-001043.9 I 19.173000
221155.73-001043.9 G 20.996000
221155.73-001043.9 R 19.728000
221155.73-001043.9 Z 18.583000
221155.73-001043.9 Y 18.572000
020102.88-044519.0 I 20.171000
020102.88-044519.0 G 21.795000
020102.88-044519.0 R 20.802000
020102.88-044519.0 Z 19.993000
020102.88-044519.0 Y 21.408000
144233.13-010210.6 I 18.980000
144233.13-010210.6 G 20.926000
144233.13-010210.6 R 19.555000
144233.13-010210.6 Z 18.748000
144233.13-010210.6 Y 18.643000
120039.06-002046.8 I 20.866000
120039.06-002046.8 G 23.173000
120039.06-002046.8 R 21.635000
120039.06-002046.8 Z 20.756000
120039.06-002046.8 Y 20.362000
221311.03+000724.5 I 18.321000
221311.03+000724.5 G 20.214000
221311.03+000724.5 R 18.885000
221311.03+000724.5 Z 17.973000
221311.03+000724.5 Y 17.796000
085056.94+014711.0 I 19.318000
085056.94+014711.0 G 21.306000
085056.94+014711.0 R 19.893000
085056.94+014711.0 Z 19.376000
085056.94+014711.0 Y 18.955000
084400.18+004732.2 I 23.015000
084400.18+004732.2 G 26.289000
084400.18+004732.2 R 23.464000
084400.18+004732.2 Z 23.119000
084400.18+004732.2 Y 22.428000
084617.25+015536.1 I 19.372000
084617.25+015536.1 G 20.451000
084617.25+015536.1 R 19.571000
084617.25+015536.1 Z 19.127000
084617.25+015536.1 Y 19.144000
084701.78+005714.1 I 19.121000
084701.78+005714.1 G 20.803000
084701.78+005714.1 R 19.639000
084701.78+005714.1 Z 18.793000
084701.78+005714.1 Y 18.567000
084929.69+005218.4 I 22.031000
084929.69+005218.4 G 24.045000
084929.69+005218.4 R 23.138000
084929.69+005218.4 Z 21.777000
084929.69+005218.4 Y 21.659000
224256.48+005155.2 I 21.907000
224256.48+005155.2 G 22.853000
224256.48+005155.2 R 22.312000
224256.48+005155.2 Z 22.891000
224256.48+005155.2 Y 21.249000
141500.37+520658.5 I 18.505000
