ID filter hostmag
120620.51-003852.1 Z 21.012000
120620.51-003852.1 Y 21.553000
142526.50-004421.5 I 17.672000
142526.50-004421.5 G 20.138000
142526.50-004421.5 R 18.151000
142526.50-004421.5 Z 17.309000
142526.50-004421.5 Y 18.452000
37.465567 I 21.177000
37.465567 G 24.864000
37.465567 R 22.292000
37.465567 Z 20.878000
37.465567 Y 20.690000
143833.49-011413.7 I 19.753000
143833.49-011413.7 G 21.884000
143833.49-011413.7 R 21.383000
143833.49-011413.7 Z 19.632000
143833.49-011413.7 Y 19.556000
021632.96-060113.5 I 20.749000
021632.96-060113.5 G 22.637000
021632.96-060113.5 R 21.387000
021632.96-060113.5 Z 20.471000
021632.96-060113.5 Y 20.510000
084820.15+014620.3 I 19.291000
084820.15+014620.3 G 22.227000
084820.15+014620.3 R 20.938000
084820.15+014620.3 Z 19.232000
084820.15+014620.3 Y 19.539000
021808.84-055629.8 I 20.143000
021808.84-055629.8 G 22.485000
021808.84-055629.8 R 21.055000
021808.84-055629.8 Z 19.707000
021808.84-055629.8 Y 19.450000
022032.13-033032.2 I 21.104000
022032.13-033032.2 G 24.644000
022032.13-033032.2 R 21.266000
022032.13-033032.2 Z 20.389000
022032.13-033032.2 Y 20.490000
115302.69+011027.8 I 20.660000
115302.69+011027.8 G 21.306000
115302.69+011027.8 R 21.585000
115302.69+011027.8 Z 20.336000
115302.69+011027.8 Y 20.358000
020450.76-041628.6 I 22.282000
020450.76-041628.6 G 28.510000
020450.76-041628.6 R 23.254000
020450.76-041628.6 Z 21.843000
020450.76-041628.6 Y 22.283000
022001.26-034830.0 I 20.707000
022001.26-034830.0 G 22.668000
022001.26-034830.0 R 21.505000
022001.26-034830.0 Z 20.428000
022001.26-034830.0 Y 20.215000
085717.45+014547.1 I 20.742000
085717.45+014547.1 G 26.626000
085717.45+014547.1 R 21.639000
085717.45+014547.1 Z 20.364000
085717.45+014547.1 Y 20.164000
021619.08-034430.5 I 21.705000
021619.08-034430.5 G 24.948000
021619.08-034430.5 R 22.323000
021619.08-034430.5 Z 21.266000
021619.08-034430.5 Y 20.868000
022125.05-055638.0 I 21.003000
022125.05-055638.0 G 23.030000
022125.05-055638.0 R 21.741000
022125.05-055638.0 Z 20.576000
022125.05-055638.0 Y 20.482000
223925.92+000340.3 I 22.417000
223925.92+000340.3 G 23.629000
223925.92+000340.3 R 23.385000
223925.92+000340.3 Z 21.593000
223925.92+000340.3 Y 20.987000
37.949768 I 21.236000
37.949768 G 23.634000
37.949768 R 22.153000
37.949768 Z 20.837000
37.949768 Y 20.672000
115832.81+005139.1 I 18.611000
115832.81+005139.1 G 18.159000
115832.81+005139.1 R 20.644000
115832.81+005139.1 Z 19.668000
115832.81+005139.1 Y 19.994000
222923.37+003244.2 I 19.500000
222923.37+003244.2 G 20.803000
222923.37+003244.2 R 20.090000
222923.37+003244.2 Z 19.475000
222923.37+003244.2 Y 19.238000
021010.28-035930.9 I 20.072000
021010.28-035930.9 G 22.004000
021010.28-035930.9 R 20.769000
021010.28-035930.9 Z 19.852000
021010.28-035930.9 Y 19.625000
020308.98-060834.5 I 21.227000
020308.98-060834.5 G 23.173000
020308.98-060834.5 R 22.271000
020308.98-060834.5 Z 20.812000
020308.98-060834.5 Y 20.715000
38.314685 I 21.028000
38.314685 G 23.044000
38.314685 R 21.821000
38.314685 Z 20.660000
38.314685 Y 20.415000
142352.63-004924.6 I 21.162000
142352.63-004924.6 G 23.621000
142352.63-004924.6 R 22.015000
142352.63-004924.6 Z 20.787000
142352.63-004924.6 Y 20.601000
021037.60-033904.8 I 21.592000
021037.60-033904.8 G 24.300000
021037.60-033904.8 R 22.407000
021037.60-033904.8 Z 21.322000
021037.60-033904.8 Y 21.057000
220749.50-002813.3 I 21.723000
220749.50-002813.3 G 24.110000
220749.50-002813.3 R 23.107000
220749.50-002813.3 Z 21.369000
220749.50-002813.3 Y 21.037000
021642.05-045559.6 I 20.783000
021642.05-045559.6 G 23.055000
021642.05-045559.6 R 21.560000
021642.05-045559.6 Z 20.572000
021642.05-045559.6 Y 20.440000
023025.82-042354.5 I 22.467000
023025.82-042354.5 G 22.265000
023025.82-042354.5 R 26.464000
023025.82-042354.5 Z 21.924000
023025.82-042354.5 Y 31.626000
115342.99-001159.7 I 20.244000
115342.99-001159.7 G 22.525000
115342.99-001159.7 R 21.341000
115342.99-001159.7 Z 20.048000
115342.99-001159.7 Y 19.836000
222030.08-002216.2 I 20.726000
222030.08-002216.2 G 23.124000
222030.08-002216.2 R 21.693000
222030.08-002216.2 Z 20.450000
222030.08-002216.2 Y 20.235000
223624.24+012716.9 I 20.811000
223624.24+012716.9 G 23.341000
223624.24+012716.9 R 21.761000
223624.24+012716.9 Z 20.627000
223624.24+012716.9 Y 20.320000
022445.34-035509.4 I 19.624000
022445.34-035509.4 G 21.086000
022445.34-035509.4 R 20.065000
022445.34-035509.4 Z 19.384000
022445.34-035509.4 Y 19.279000
143005.51-011321.6 I 17.733000
143005.51-011321.6 G 31.285000
143005.51-011321.6 R 19.980000
143005.51-011321.6 Z 19.039000
143005.51-011321.6 Y 19.889000
37.262146 I 19.524000
37.262146 G 30.187000
37.262146 R 19.760000
37.262146 Z 20.104000
37.262146 Y 19.561000
021130.36-041350.9 I 21.325000
021130.36-041350.9 G 32.133000
021130.36-041350.9 R 21.837000
021130.36-041350.9 Z 20.773000
021130.36-041350.9 Y 20.639000
37.749407 I 20.770000
37.749407 G 23.281000
37.749407 R 21.569000
37.749407 Z 20.438000
37.749407 Y 20.333000
022246.24-041450.8 I 21.167000
022246.24-041450.8 G 22.488000
022246.24-041450.8 R 21.642000
022246.24-041450.8 Z 20.906000
022246.24-041450.8 Y 20.662000
021259.54-060838.8 I 20.844000
021259.54-060838.8 G 22.755000
021259.54-060838.8 R 21.655000
021259.54-060838.8 Z 20.448000
021259.54-060838.8 Y 20.213000
090006.26+021537.3 I 20.069000
090006.26+021537.3 G 22.919000
090006.26+021537.3 R 21.196000
090006.26+021537.3 Z 19.595000
090006.26+021537.3 Y 19.360000
022802.15-035247.6 I 19.862000
022802.15-035247.6 G 22.517000
022802.15-035247.6 R 20.445000
022802.15-035247.6 Z 19.821000
022802.15-035247.6 Y 19.629000
222029.54+004401.3 I 21.670000
222029.54+004401.3 G 29.883000
222029.54+004401.3 R 24.157000
222029.54+004401.3 Z 25.905000
222029.54+004401.3 Y 23.302000
162039.12+430814.5 I 26.319000
162039.12+430814.5 G 31.385000
162039.12+430814.5 R 29.743000
162039.12+430814.5 Z 29.446000
162039.12+430814.5 Y 30.003000
022142.64-052037.8 I 21.227000
022142.64-052037.8 G 23.053000
022142.64-052037.8 R 22.212000
022142.64-052037.8 Z 20.885000
022142.64-052037.8 Y 20.724000
021403.11-041600.4 I 21.607000
021403.11-041600.4 G 23.241000
021403.11-041600.4 R 22.157000
021403.11-041600.4 Z 21.366000
021403.11-041600.4 Y 21.148000
162520.01+424435.5 I 23.013000
162520.01+424435.5 G 29.344000
162520.01+424435.5 R 24.880000
162520.01+424435.5 Z 22.322000
162520.01+424435.5 Y 21.951000
142658.57-002056.4 I 17.692000
142658.57-002056.4 G 17.054000
142658.57-002056.4 R 17.657000
142658.57-002056.4 Z 17.947000
142658.57-002056.4 Y 17.810000
022131.97-053853.8 I 25.581000
022131.97-053853.8 G 29.863000
022131.97-053853.8 R 30.623000
022131.97-053853.8 Z 29.743000
022131.97-053853.8 Y 29.689000
38.64765 I 20.731000
38.64765 G 22.183000
38.64765 R 21.606000
38.64765 Z 20.464000
38.64765 Y 20.284000
021702.14-035645.7 I 21.472000
021702.14-035645.7 G 24.003000
021702.14-035645.7 R 22.349000
021702.14-035645.7 Z 21.100000
021702.14-035645.7 Y 20.868000
020843.70-041551.5 I 20.728000
020843.70-041551.5 G 22.363000
020843.70-041551.5 R 21.445000
020843.70-041551.5 Z 20.375000
020843.70-041551.5 Y 20.256000
021748.25-053909.6 I 21.688000
021748.25-053909.6 G 25.270000
021748.25-053909.6 R 22.403000
021748.25-053909.6 Z 21.226000
021748.25-053909.6 Y 21.174000
220946.73-003535.5 I 19.177000
220946.73-003535.5 G 21.864000
220946.73-003535.5 R 23.525000
220946.73-003535.5 Z 21.242000
220946.73-003535.5 Y 22.429000
221951.03+010310.2 I 19.600000
221951.03+010310.2 G 21.748000
221951.03+010310.2 R 20.355000
221951.03+010310.2 Z 19.242000
221951.03+010310.2 Y 19.081000
021304.35-054333.3 I 20.263000
021304.35-054333.3 G 22.669000
021304.35-054333.3 R 21.218000
021304.35-054333.3 Z 19.865000
021304.35-054333.3 Y 19.680000
222006.62-001147.2 I 22.595000
222006.62-001147.2 G 36.287000
222006.62-001147.2 R 24.084000
222006.62-001147.2 Z 22.195000
222006.62-001147.2 Y 21.715000
021402.24-051317.4 I 21.286000
021402.24-051317.4 G 23.865000
021402.24-051317.4 R 22.363000
021402.24-051317.4 Z 20.963000
021402.24-051317.4 Y 20.736000
021934.07-052058.2 I 20.244000
021934.07-052058.2 G 22.781000
021934.07-052058.2 R 21.153000
021934.07-052058.2 Z 19.878000
021934.07-052058.2 Y 19.711000
023057.03-053154.1 I 20.087000
023057.03-053154.1 G 22.108000
023057.03-053154.1 R 21.032000
023057.03-053154.1 Z 19.660000
023057.03-053154.1 Y 19.417000
084856.08+011540.0 I 18.801000
084856.08+011540.0 G 21.233000
084856.08+011540.0 R 19.195000
084856.08+011540.0 Z 19.468000
084856.08+011540.0 Y 19.370000
021758.16-042522.1 I 21.395000
021758.16-042522.1 G 22.808000
021758.16-042522.1 R 21.895000
021758.16-042522.1 Z 21.086000
021758.16-042522.1 Y 20.959000
021905.59-051443.4 I 21.084000
021905.59-051443.4 G 22.940000
021905.59-051443.4 R 21.809000
021905.59-051443.4 Z 20.741000
021905.59-051443.4 Y 20.470000
141530.65+520439.5 I 0
141530.65+520439.5 G 0
141530.65+520439.5 R 0
141530.65+520439.5 Z 0
141530.65+520439.5 Y 0
38.214729999999996 I 19.871000
38.214729999999996 G 22.678000
38.214729999999996 R 20.993000
38.214729999999996 Z 19.528000
38.214729999999996 Y 19.603000
224258.41+004002.3 I 21.548000
224258.41+004002.3 G 24.147000
224258.41+004002.3 R 22.816000
224258.41+004002.3 Z 21.062000
224258.41+004002.3 Y 20.889000
020744.06-060955.9 I 19.438000
020744.06-060955.9 G 22.519000
020744.06-060955.9 R 20.834000
020744.06-060955.9 Z 19.633000
020744.06-060955.9 Y 19.493000
141911.52+002646.2 I 23.304000
141911.52+002646.2 G 38.043000
141911.52+002646.2 R 26.779000
141911.52+002646.2 Z 22.776000
141911.52+002646.2 Y 22.354000
020814.04-041945.5 I 20.558000
020814.04-041945.5 G 22.304000
020814.04-041945.5 R 21.535000
020814.04-041945.5 Z 20.299000
020814.04-041945.5 Y 20.088000
222220.43+015723.3 I 20.333000
222220.43+015723.3 G 23.046000
222220.43+015723.3 R 21.093000
222220.43+015723.3 Z 19.990000
222220.43+015723.3 Y 19.756000
020543.26-051702.4 I 21.664000
020543.26-051702.4 G 23.414000
020543.26-051702.4 R 22.204000
020543.26-051702.4 Z 21.280000
020543.26-051702.4 Y 21.209000
084541.22+001316.3 I 22.164000
084541.22+001316.3 G 23.088000
084541.22+001316.3 R 22.305000
084541.22+001316.3 Z 21.136000
084541.22+001316.3 Y 21.487000
020734.47-060542.7 I 22.261000
020734.47-060542.7 G 25.517000
020734.47-060542.7 R 23.296000
020734.47-060542.7 Z 21.899000
020734.47-060542.7 Y 21.827000
021046.40-054854.0 I 20.800000
021046.40-054854.0 G 23.652000
021046.40-054854.0 R 21.793000
021046.40-054854.0 Z 20.390000
021046.40-054854.0 Y 20.188000
220820.60+013030.2 I 21.937000
220820.60+013030.2 G 23.734000
220820.60+013030.2 R 22.931000
220820.60+013030.2 Z 21.573000
220820.60+013030.2 Y 21.483000
37.870793 I 20.497000
37.870793 G 22.035000
37.870793 R 21.169000
37.870793 Z 20.243000
37.870793 Y 20.036000
120601.73+004212.7 I 21.328000
120601.73+004212.7 G 23.405000
120601.73+004212.7 R 22.176000
120601.73+004212.7 Z 20.974000
120601.73+004212.7 Y 20.746000
021228.77-052437.1 I 20.957000
021228.77-052437.1 G 24.032000
021228.77-052437.1 R 21.986000
021228.77-052437.1 Z 20.678000
021228.77-052437.1 Y 20.470000
143141.90-011330.7 I 18.141000
143141.90-011330.7 G 20.116000
143141.90-011330.7 R 18.954000
143141.90-011330.7 Z 22.298000
143141.90-011330.7 Y 22.567000
221055.80-001702.4 I 20.727000
221055.80-001702.4 G 24.854000
221055.80-001702.4 R 21.964000
221055.80-001702.4 Z 20.399000
221055.80-001702.4 Y 20.438000
120505.25+005202.9 I 21.023000
120505.25+005202.9 G 37.392000
120505.25+005202.9 R 22.960000
120505.25+005202.9 Z 20.719000
120505.25+005202.9 Y 20.411000
022913.93-044218.7 I 22.351000
022913.93-044218.7 G 30.304000
022913.93-044218.7 R 23.329000
022913.93-044218.7 Z 21.886000
022913.93-044218.7 Y 21.496000
223630.92+004541.3 I 23.052000
223630.92+004541.3 G 26.233000
223630.92+004541.3 R 23.359000
223630.92+004541.3 Z 22.570000
223630.92+004541.3 Y 23.269000
162229.20+440324.5 I 22.183000
162229.20+440324.5 G 24.376000
162229.20+440324.5 R 23.782000
162229.20+440324.5 Z 21.721000
162229.20+440324.5 Y 21.267000
37.540223 I 20.491000
37.540223 G 22.978000
37.540223 R 21.427000
37.540223 Z 20.044000
37.540223 Y 19.766000
115929.24+010554.1 I 21.486000
115929.24+010554.1 G 28.034000
115929.24+010554.1 R 23.524000
115929.24+010554.1 Z 20.996000
115929.24+010554.1 Y 20.728000
37.163206 I 20.392000
37.163206 G 21.886000
37.163206 R 21.064000
37.163206 Z 20.094000
37.163206 Y 19.851000
141656.74-005021.5 I 21.394000
141656.74-005021.5 G 23.615000
141656.74-005021.5 R 23.401000
141656.74-005021.5 Z 20.910000
141656.74-005021.5 Y 20.610000
085430.23-000418.1 I 22.093000
085430.23-000418.1 G 24.817000
085430.23-000418.1 R 23.048000
085430.23-000418.1 Z 21.638000
085430.23-000418.1 Y 21.544000
120553.64-004651.1 I 22.105000
120553.64-004651.1 G 24.379000
120553.64-004651.1 R 23.111000
120553.64-004651.1 Z 22.995000
120553.64-004651.1 Y 22.191000
021329.06-043446.8 I 20.058000
021329.06-043446.8 G 21.814000
021329.06-043446.8 R 20.883000
021329.06-043446.8 Z 19.835000
021329.06-043446.8 Y 19.690000
120103.09-005221.1 I 19.391000
120103.09-005221.1 G 20.703000
120103.09-005221.1 R 19.834000
120103.09-005221.1 Z 19.395000
120103.09-005221.1 Y 19.172000
021517.88-055706.5 I 21.791000
021517.88-055706.5 G 24.418000
021517.88-055706.5 R 21.964000
021517.88-055706.5 Z 21.788000
021517.88-055706.5 Y 21.670000
222841.63+002217.8 I 21.329000
222841.63+002217.8 G 24.097000
222841.63+002217.8 R 21.898000
222841.63+002217.8 Z 20.950000
222841.63+002217.8 Y 20.605000
120707.80-000458.9 I 18.900000
120707.80-000458.9 G 19.833000
120707.80-000458.9 R 20.137000
120707.80-000458.9 Z 22.108000
120707.80-000458.9 Y 22.411000
115353.97-005530.9 I 22.132000
115353.97-005530.9 G 23.958000
115353.97-005530.9 R 23.597000
115353.97-005530.9 Z 21.662000
115353.97-005530.9 Y 21.476000
084212.11+010358.3 I 22.638000
084212.11+010358.3 G 24.564000
084212.11+010358.3 R 23.857000
084212.11+010358.3 Z 21.961000
084212.11+010358.3 Y 22.056000
142352.01-000705.2 I 19.188000
142352.01-000705.2 G 28.431000
142352.01-000705.2 R 20.672000
142352.01-000705.2 Z 20.573000
142352.01-000705.2 Y 19.277000
085531.21+015346.8 I 20.734000
085531.21+015346.8 G 23.192000
085531.21+015346.8 R 21.606000
085531.21+015346.8 Z 20.376000
085531.21+015346.8 Y 20.160000
222005.58+013227.1 I 20.604000
222005.58+013227.1 G 22.160000
222005.58+013227.1 R 21.825000
222005.58+013227.1 Z 20.441000
222005.58+013227.1 Y 20.020000
084948.89+000456.5 I 21.254000
084948.89+000456.5 G 22.358000
084948.89+000456.5 R 21.769000
084948.89+000456.5 Z 21.170000
084948.89+000456.5 Y 21.053000
163040.56+433005.6 I 20.195000
163040.56+433005.6 G 22.576000
163040.56+433005.6 R 20.476000
163040.56+433005.6 Z 20.234000
163040.56+433005.6 Y 20.135000
223326.61-003101.5 I 20.668000
223326.61-003101.5 G 23.237000
223326.61-003101.5 R 27.472000
223326.61-003101.5 Z 22.557000
223326.61-003101.5 Y 29.919000
161429.14+434903.5 I 24.623000
161429.14+434903.5 G 30.256000
161429.14+434903.5 R 24.403000
161429.14+434903.5 Z 23.568000
161429.14+434903.5 Y 24.037000
115941.07-000320.0 I 18.171000
115941.07-000320.0 G 28.365000
115941.07-000320.0 R 27.703000
115941.07-000320.0 Z 21.980000
115941.07-000320.0 Y 21.943000
021933.75-054920.1 I 21.143000
021933.75-054920.1 G 23.309000
021933.75-054920.1 R 21.993000
021933.75-054920.1 Z 20.709000
021933.75-054920.1 Y 20.661000
115333.98+010904.9 I 21.377000
115333.98+010904.9 G 26.009000
115333.98+010904.9 R 23.063000
115333.98+010904.9 Z 20.920000
115333.98+010904.9 Y 20.550000
022045.90-055116.5 I 19.690000
022045.90-055116.5 G 21.865000
022045.90-055116.5 R 20.701000
022045.90-055116.5 Z 19.295000
022045.90-055116.5 Y 19.010000
022605.44-043226.8 I 21.033000
022605.44-043226.8 G 22.516000
022605.44-043226.8 R 21.821000
022605.44-043226.8 Z 20.730000
022605.44-043226.8 Y 20.512000
115723.32+001708.9 I 21.294000
115723.32+001708.9 G 24.185000
115723.32+001708.9 R 22.433000
115723.32+001708.9 Z 21.071000
115723.32+001708.9 Y 20.786000
223738.01+003648.6 I 21.183000
223738.01+003648.6 G 23.470000
223738.01+003648.6 R 22.337000
223738.01+003648.6 Z 20.677000
223738.01+003648.6 Y 20.431000
023053.85-035702.0 I 20.408000
023053.85-035702.0 G 22.900000
023053.85-035702.0 R 21.301000
023053.85-035702.0 Z 19.867000
023053.85-035702.0 Y 19.455000
37.567617999999996 I 20.615000
37.567617999999996 G 22.474000
37.567617999999996 R 21.447000
37.567617999999996 Z 20.290000
37.567617999999996 Y 20.041000
021323.79-052315.5 I 20.139000
021323.79-052315.5 G 22.378000
021323.79-052315.5 R 20.759000
021323.79-052315.5 Z 19.837000
021323.79-052315.5 Y 19.731000
020454.66-051014.4 I 21.080000
020454.66-051014.4 G 22.612000
020454.66-051014.4 R 21.890000
020454.66-051014.4 Z 20.831000
020454.66-051014.4 Y 20.780000
120554.25-004428.2 I 22.893000
120554.25-004428.2 G 32.047000
120554.25-004428.2 R 32.553000
120554.25-004428.2 Z 22.598000
120554.25-004428.2 Y 22.211000
224302.12+014603.1 I 20.454000
224302.12+014603.1 G 22.967000
224302.12+014603.1 R 21.532000
224302.12+014603.1 Z 20.011000
224302.12+014603.1 Y 19.643000
222518.67+011243.5 I 21.269000
222518.67+011243.5 G 23.865000
222518.67+011243.5 R 21.409000
222518.67+011243.5 Z 20.492000
222518.67+011243.5 Y 20.496000
090601.66+002020.7 I 21.236000
090601.66+002020.7 G 29.675000
090601.66+002020.7 R 23.682000
090601.66+002020.7 Z 21.089000
090601.66+002020.7 Y 21.064000
221639.01+001943.7 I 22.816000
221639.01+001943.7 G 24.751000
221639.01+001943.7 R 23.529000
221639.01+001943.7 Z 22.798000
221639.01+001943.7 Y 22.526000
021104.10-050406.3 I 21.683000
021104.10-050406.3 G 23.312000
021104.10-050406.3 R 22.446000
021104.10-050406.3 Z 21.361000
021104.10-050406.3 Y 21.151000
221933.88+012023.6 I 21.286000
221933.88+012023.6 G 32.783000
221933.88+012023.6 R 22.281000
221933.88+012023.6 Z 20.790000
221933.88+012023.6 Y 20.771000
021054.08-051351.7 I 21.460000
021054.08-051351.7 G 25.443000
021054.08-051351.7 R 22.656000
021054.08-051351.7 Z 21.028000
021054.08-051351.7 Y 20.852000
223347.95+004336.6 I 21.665000
223347.95+004336.6 G 29.266000
223347.95+004336.6 R 23.189000
223347.95+004336.6 Z 21.226000
223347.95+004336.6 Y 20.915000
115155.74+011221.2 I 20.529000
115155.74+011221.2 G 24.247000
115155.74+011221.2 R 21.780000
115155.74+011221.2 Z 20.181000
115155.74+011221.2 Y 19.895000
020718.13-060405.7 I 20.992000
020718.13-060405.7 G 23.571000
020718.13-060405.7 R 22.152000
020718.13-060405.7 Z 20.607000
020718.13-060405.7 Y 20.410000
084230.96+010829.2 I 22.188000
084230.96+010829.2 G 31.835000
084230.96+010829.2 R 21.535000
084230.96+010829.2 Z 21.057000
084230.96+010829.2 Y 20.795000
141526.07+000448.5 I 19.667000
141526.07+000448.5 G 23.898000
141526.07+000448.5 R 21.578000
141526.07+000448.5 Z 19.507000
141526.07+000448.5 Y 19.452000
222733.43+003210.9 I 19.418000
222733.43+003210.9 G 21.400000
222733.43+003210.9 R 21.219000
222733.43+003210.9 Z 19.374000
222733.43+003210.9 Y 19.284000
144050.90+000900.8 I 22.038000
144050.90+000900.8 G 23.347000
144050.90+000900.8 R 22.491000
144050.90+000900.8 Z 21.375000
144050.90+000900.8 Y 21.086000
38.44634 I 21.307000
38.44634 G 24.149000
38.44634 R 22.685000
38.44634 Z 20.972000
38.44634 Y 21.092000
222732.69+001756.9 I 19.727000
222732.69+001756.9 G 32.164000
222732.69+001756.9 R 21.874000
222732.69+001756.9 Z 19.637000
222732.69+001756.9 Y 21.601000
223633.98+002913.2 I 19.895000
223633.98+002913.2 G 20.059000
223633.98+002913.2 R 20.013000
223633.98+002913.2 Z 19.868000
223633.98+002913.2 Y 22.162000
223537.26+003551.4 I 22.645000
223537.26+003551.4 G 31.649000
223537.26+003551.4 R 25.565000
223537.26+003551.4 Z 22.078000
223537.26+003551.4 Y 21.600000
37.607224 I 20.765000
37.607224 G 22.796000
37.607224 R 21.748000
37.607224 Z 20.384000
37.607224 Y 20.137000
142756.95+000755.6 I 21.220000
142756.95+000755.6 G 22.768000
142756.95+000755.6 R 22.063000
142756.95+000755.6 Z 20.931000
142756.95+000755.6 Y 20.735000
085640.08+000621.8 I 22.170000
085640.08+000621.8 G 24.869000
085640.08+000621.8 R 23.197000
085640.08+000621.8 Z 21.736000
085640.08+000621.8 Y 21.457000
141412.78+523208.9 I 21.692000
141412.78+523208.9 G 33.747000
141412.78+523208.9 R 35.411000
141412.78+523208.9 Z 21.332000
141412.78+523208.9 Y 21.057000
224145.41-000122.6 I 18.377000
224145.41-000122.6 G 18.565000
224145.41-000122.6 R 26.799000
224145.41-000122.6 Z 29.073000
224145.41-000122.6 Y 26.432000
022309.20-055319.4 I 22.009000
022309.20-055319.4 G 25.836000
022309.20-055319.4 R 23.760000
022309.20-055319.4 Z 21.447000
022309.20-055319.4 Y 21.259000
161408.54+432404.1 I 21.521000
161408.54+432404.1 G 23.394000
161408.54+432404.1 R 22.214000
161408.54+432404.1 Z 21.034000
161408.54+432404.1 Y 20.967000
141506.93-001000.2 I 21.728000
141506.93-001000.2 G 24.343000
141506.93-001000.2 R 22.702000
141506.93-001000.2 Z 21.400000
141506.93-001000.2 Y 21.022000
142240.36-010646.1 I 17.791000
142240.36-010646.1 G 17.619000
142240.36-010646.1 R 17.834000
142240.36-010646.1 Z 25.191000
142240.36-010646.1 Y 24.635000
120321.10-003720.5 I 20.949000
120321.10-003720.5 G 21.449000
120321.10-003720.5 R 21.706000
120321.10-003720.5 Z 20.218000
120321.10-003720.5 Y 20.836000
022716.12-044539.1 I 19.928000
022716.12-044539.1 G 23.633000
022716.12-044539.1 R 21.041000
022716.12-044539.1 Z 19.787000
022716.12-044539.1 Y 20.304000
020202.44-042819.5 I 21.547000
020202.44-042819.5 G 24.291000
020202.44-042819.5 R 22.604000
020202.44-042819.5 Z 21.054000
020202.44-042819.5 Y 20.955000
021453.66-042844.8 I 21.184000
021453.66-042844.8 G 22.782000
021453.66-042844.8 R 21.993000
021453.66-042844.8 Z 20.851000
021453.66-042844.8 Y 20.820000
020421.06-040818.9 I 21.544000
020421.06-040818.9 G nan
020421.06-040818.9 R 22.625000
020421.06-040818.9 Z 21.708000
020421.06-040818.9 Y 22.076000
085635.78+014247.0 I 21.842000
085635.78+014247.0 G 24.438000
085635.78+014247.0 R 23.520000
085635.78+014247.0 Z 21.353000
085635.78+014247.0 Y 21.030000
021259.10-043336.8 I 21.571000
021259.10-043336.8 G 24.369000
021259.10-043336.8 R 22.309000
021259.10-043336.8 Z 21.027000
021259.10-043336.8 Y 20.876000
221623.77-000728.7 I 21.352000
221623.77-000728.7 G 23.705000
221623.77-000728.7 R 22.535000
221623.77-000728.7 Z 20.965000
221623.77-000728.7 Y 20.698000
142030.62-010543.4 I 21.697000
142030.62-010543.4 G 24.265000
142030.62-010543.4 R 22.923000
142030.62-010543.4 Z 21.187000
142030.62-010543.4 Y 21.139000
115412.54-000153.2 I 18.293000
115412.54-000153.2 G 22.372000
115412.54-000153.2 R 23.959000
115412.54-000153.2 Z 22.632000
115412.54-000153.2 Y 22.844000
023142.18-033322.7 I 21.977000
023142.18-033322.7 G 27.467000
023142.18-033322.7 R 23.647000
023142.18-033322.7 Z 22.044000
023142.18-033322.7 Y 21.593000
020659.51-042343.3 I 20.454000
020659.51-042343.3 G 22.113000
020659.51-042343.3 R 21.266000
020659.51-042343.3 Z 20.174000
020659.51-042343.3 Y 19.976000
085717.97+014953.3 I 20.626000
085717.97+014953.3 G 23.274000
085717.97+014953.3 R 22.364000
085717.97+014953.3 Z 20.775000
085717.97+014953.3 Y 20.953000
163028.92+430038.7 I 20.313000
163028.92+430038.7 G 22.321000
163028.92+430038.7 R 20.592000
163028.92+430038.7 Z 20.134000
163028.92+430038.7 Y 20.253000
221854.37+002656.7 I 22.586000
221854.37+002656.7 G 29.643000
221854.37+002656.7 R 31.164000
221854.37+002656.7 Z 22.002000
221854.37+002656.7 Y 22.326000
142114.04+003710.8 I 26.190000
142114.04+003710.8 G 22.382000
142114.04+003710.8 R 26.347000
142114.04+003710.8 Z 22.042000
142114.04+003710.8 Y 23.886000
221737.24+015913.7 I 21.163000
221737.24+015913.7 G 22.942000
221737.24+015913.7 R 22.017000
221737.24+015913.7 Z 20.845000
221737.24+015913.7 Y 20.550000
021535.93-035612.9 I 21.724000
021535.93-035612.9 G 24.076000
021535.93-035612.9 R 22.624000
021535.93-035612.9 Z 21.511000
021535.93-035612.9 Y 21.156000
021415.53-053606.7 I 19.461000
021415.53-053606.7 G 28.908000
021415.53-053606.7 R 24.410000
021415.53-053606.7 Z 19.288000
021415.53-053606.7 Y 19.604000
162211.20+441533.4 I 21.124000
162211.20+441533.4 G 23.366000
162211.20+441533.4 R 22.540000
162211.20+441533.4 Z 21.018000
162211.20+441533.4 Y 20.723000
021331.35-042849.5 I 21.346000
021331.35-042849.5 G 24.667000
021331.35-042849.5 R 22.481000
021331.35-042849.5 Z 20.985000
021331.35-042849.5 Y 21.006000
020411.04-042526.9 I 20.815000
020411.04-042526.9 G 24.528000
020411.04-042526.9 R 22.253000
020411.04-042526.9 Z 20.412000
020411.04-042526.9 Y 20.147000
114909.13-002349.7 I 20.063000
114909.13-002349.7 G 26.051000
114909.13-002349.7 R 19.926000
114909.13-002349.7 Z 20.035000
114909.13-002349.7 Y 19.943000
021320.16-050751.1 I 20.462000
021320.16-050751.1 G 22.291000
021320.16-050751.1 R 21.318000
021320.16-050751.1 Z 20.154000
021320.16-050751.1 Y 19.968000
221029.67+010843.8 I 20.845000
221029.67+010843.8 G 22.721000
221029.67+010843.8 R 21.589000
221029.67+010843.8 Z 20.254000
221029.67+010843.8 Y 20.042000
223259.47+000502.5 I 21.873000
223259.47+000502.5 G 23.627000
223259.47+000502.5 R 22.545000
223259.47+000502.5 Z 20.984000
223259.47+000502.5 Y 21.244000
